PDB Lapangan Usaha (Seri 2010),,,,,,,,,,,,,,,
,[Seri 2010] Laju Pertumbuhan PDB Seri 2010 (Persen),,,,,,,,,,,,,,
,Laju Pertumbuhan Kumulatif (c-to-c),,,,,Laju Pertumbuhan Triwulanan Berantai (q-to-q),,,,,Laju Pertumbuhan Triwulanan terhadap Triwulan yang Sama Tahun Sebelumnya (y-on-y),,,,
,2019,,,,,2019,,,,,2019,,,,
,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan
"A. Pertanian, Kehutanan, dan Perikanan",1.79,3.62,3.43,3.61,3.61,14.07,13.75,1.04,-20.48,3.61,1.79,5.28,3.07,4.25,3.61
"1. Pertanian, Peternakan, Perburuan dan Jasa Pertanian",1.14,3.39,3.07,3.31,3.31,19.61,17.43,0.59,-26.23,3.31,1.14,5.39,2.49,4.23,3.31
a. Tanaman Pangan,-5.98,-0.48,-1.85,-1.73,-1.73,73.54,10.7,-11.27,-41.95,-1.73,-5.98,5.08,-4.67,-1.05,-1.73
b. Tanaman Hortikultura,6.18,6.11,5.71,5.53,5.53,7.06,23.79,-0.09,-20.77,5.53,6.18,6.06,4.98,4.92,5.53
c. Tanaman Perkebunan,3.36,3.99,4.36,4.56,4.56,-0.03,28.14,10.41,-25.6,4.56,3.36,4.5,4.96,5.23,4.56
d. Peternakan,7.87,7.78,7.75,7.78,7.78,8.84,4.22,0.49,-5.38,7.78,7.87,7.7,7.69,7.86,7.78
e. Jasa Pertanian dan Perburuan,1.82,3.65,3.04,3.17,3.17,19.27,7.15,2.25,-20.67,3.17,1.82,5.43,1.89,3.65,3.17
2. Kehutanan dan Penebangan Kayu,-2.84,-1.04,0.58,0.37,0.37,-10.53,11.62,5.79,-5.56,0.37,-2.84,0.63,3.63,-0.23,0.37
