PDB Lapangan Usaha (Seri 2010),,,,,,,,,,,,,,,
,[Seri 2010] Laju Pertumbuhan PDB Seri 2010 (Persen),,,,,,,,,,,,,,
3. Perikanan,5.66,5.87,5.8,5.73,5.73,1.88,-0.26,1.9,1.88,5.73,5.66,6.07,5.68,5.5,5.73
B. Pertambangan dan Penggalian,2.32,0.79,1.31,1.22,1.22,-0.24,-0.61,3.38,-1.52,1.22,2.32,-0.71,2.34,0.94,1.22
"1. Pertambangan Minyak, Gas dan Panas Bumi",-1.36,-2.75,-3.01,-2.83,-2.83,-1.82,-0.35,-0.09,-0.04,-2.83,-1.36,-4.11,-3.52,-2.28,-2.83
2. Pertambangan Batubara dan Lignit,14.77,13.33,13.29,10.2,10.2,2.12,-2.52,2.42,-0.02,10.2,14.77,11.9,13.21,1.92,10.2
3. Pertambangan Bijih Logam,-17.92,-22.12,-18.07,-15.15,-15.15,-2.06,-0.33,18.39,-17.01,-15.15,-17.92,-25.93,-10.14,-4.09,-15.15
4. Pertambangan dan Penggalian Lainnya,4.51,5.2,5.58,6.18,6.18,-0.13,1.84,3.3,2.73,6.18,4.51,5.89,6.3,7.94,6.18
C. Industri Pengolahan,3.85,3.69,3.84,3.8,3.8,0.37,1.73,3.19,-1.62,3.8,3.85,3.52,4.14,3.67,3.8
1. Industri Batubara dan Pengilangan Migas,-4.25,-2.34,-1.83,-1.11,-1.11,-0.12,3.83,-2.35,-0.1,-1.11,-4.25,-0.43,-0.8,1.16,-1.11
Industri Pengolahan Non Migas,4.8,4.38,4.48,4.34,4.34,0.42,1.51,3.8,-1.77,4.34,4.8,3.98,4.68,3.94,4.34
1. Industri Makanan dan Minuman,6.77,7.4,7.72,7.78,7.78,3.13,5.65,3.78,-4.54,7.78,6.77,7.99,8.33,7.95,7.78
2. Industri Pengolahan Tembakau,16.1,8.01,3.87,3.36,3.36,1.97,-4.35,-1.96,6.57,3.36,16.1,0.68,-3.83,1.9,3.36
3. Industri Tekstil dan Pakaian Jadi,18.98,19.86,18.23,15.35,15.35,9.04,5.12,-2.6,-3.99,15.35,18.98,20.71,15.08,7.17,15.35
"4. Industri Kulit, Barang dari Kulit dan Alas Kaki",-1.15,-3.86,-0.73,-0.99,-0.99,-2.59,-0.04,3.21,-2.25,-0.99,-1.15,-6.42,5.94,-1.77,-0.99
"5. Industri Kayu, Barang dari Kayu dan Gabus dan Barang Anyaman dari Bambu, Rotan dan Sejenisnya",-8.56,-8.21,-5.93,-4.55,-4.55,-3.82,-0.14,6.01,-2.04,-4.55,-8.56,-7.85,-1.3,-0.26,-4.55
6. Industri Kertas dan Barang dari Kertas; Percetakan dan Reproduksi Media Rekaman,9.22,10.87,9.48,8.86,8.86,-0.18,4.6,3.47,-0.87,8.86,9.22,12.49,6.94,7.1,8.86
"7. Industri Kimia, Farmasi dan Obat Tradisional",11.53,8.19,7.02,8.48,8.48,4.1,-0.02,-0.12,8.45,8.48,11.53,5.04,4.76,12.73,8.48
"8. Industri Karet, Barang dari Karet dan Plastik",-6.52,-6.87,-5.71,-5.52,-5.52,-2.76,-0.54,4.7,-6.1,-5.52,-6.52,-7.22,-3.42,-4.91,-5.52
9. Industri Barang Galian bukan Logam,-5.07,-3.64,-2.69,-1.03,-1.03,-8.43,-5,11.35,7.05,-1.03,-5.07,-2.09,-0.89,3.68,-1.03
10. Industri Logam Dasar,8.59,6.02,5.53,2.83,2.83,-2.37,-6.76,8.18,-3.03,2.83,8.59,3.4,4.62,-4.51,2.83
"11. Industri Barang Logam; Komputer, Barang Elektronik, Optik; dan Peralatan Listrik",0.41,-1.07,0.04,-0.51,-0.51,-2.17,-0.33,5.28,-4.67,-0.51,0.41,-2.52,2.21,-2.13,-0.51
12. Industri Mesin dan Perlengkapan,1.29,-1.3,-3.08,-4.13,-4.13,-2.89,-8.08,-2.78,7.05,-4.13,1.29,-3.96,-6.69,-7.1,-4.13
13. Industri Alat Angkutan,-6.61,-5.2,-3.83,-3.43,-3.43,-8.84,-0.53,10.25,-2.22,-3.43,-6.61,-3.73,-1.23,-2.25,-3.43
14. Industri Furnitur,12.89,9.35,8.54,8.35,8.35,12.07,-6.11,1.15,1.27,8.35,12.89,5.81,6.93,7.79,8.35
15. Industri Pengolahan Lainnya; Jasa Reparasi dan Pemasangan Mesin dan Peralatan,5.36,6.82,7.98,5.17,5.17,2.45,-0.05,2.05,-7.05,5.17,5.36,8.31,10.33,-2.87,5.17
D. Pengadaan Listrik dan Gas,4.12,3.15,3.35,4.04,4.04,-3.7,1.19,4.94,3.68,4.04,4.12,2.2,3.75,6.01,4.04
1. Ketenagalistrikan,5.72,4.43,4.27,4.61,4.61,-3.62,1.16,3.82,4.32,4.61,5.72,3.19,3.95,5.6,4.61
2. Pengadaan Gas dan Produksi Es,-6.22,-5.35,-2.68,0.16,0.16,-4.31,1.36,13.05,-0.61,0.16,-6.22,-4.48,2.4,8.98,0.16
"E. Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",8.95,8.64,7.34,6.83,6.83,-0.1,1.3,0.06,4.06,6.83,8.95,8.34,4.85,5.38,6.83
F. Konstruksi,5.91,5.8,5.75,5.76,5.76,-4.3,0.75,4.76,4.74,5.76,5.91,5.69,5.65,5.79,5.76
G. Perdagangan Besar dan Eceran; Reparasi Mobil dan Sepeda Motor,5.22,4.91,4.73,4.6,4.6,1.19,2.53,2.83,-2.34,4.6,5.22,4.62,4.4,4.19,4.6
"1. Perdagangan Mobil, Sepeda Motor dan Reparasinya",3.41,3.37,3.61,3.72,3.72,-0.15,-0.06,4.34,-0.07,3.72,3.41,3.34,4.06,4.05,3.72
"2. Perdagangan Besar dan Eceran, Bukan Mobil dan Sepeda Motor",5.65,5.27,5,4.8,4.8,1.51,3.14,2.49,-2.87,4.8,5.65,4.91,4.48,4.22,4.8
H. Transportasi dan Pergudangan,5.42,5.63,5.98,6.38,6.38,-0.6,3.65,3.27,1.09,6.38,5.42,5.84,6.65,7.55,6.38
1. Angkutan Rel,8.02,7.09,5.6,4.49,4.49,-6.52,4.95,2.31,1.02,4.49,8.02,6.23,2.87,1.4,4.49
2. Angkutan Darat,8.95,9.72,9.95,9.96,9.96,3.89,3.74,1.53,0.51,9.96,8.95,10.49,10.4,9.98,9.96
3. Angkutan Laut,7.17,7.69,9.79,10.47,10.47,1.72,5.64,4.44,0.19,10.47,7.17,8.2,13.93,12.45,10.47
4. Angkutan Sungai Danau dan Penyeberangan,4.29,5.44,5.55,5.58,5.58,0.12,5.29,-0.41,0.66,5.58,4.29,6.55,5.78,5.67,5.58
5. Angkutan Udara,-9.38,-11.42,-11.42,-9.76,-9.76,-15.71,-0.09,7.77,4.76,-9.76,-9.38,-13.37,-11.42,-4.92,-9.76
6. Pergudangan dan Jasa Penunjang Angkutan; Pos dan Kurir,8.67,9.3,10,10.34,10.34,-0.14,5.46,5.45,0.24,10.34,8.67,9.89,11.34,11.31,10.34
I. Penyediaan Akomodasi dan Makan Minum,5.86,5.69,5.59,5.79,5.79,0.67,1.56,1.55,2.44,5.79,5.86,5.53,5.39,6.36,5.79
1. Penyediaan Akomodasi,2.97,1.79,1.44,1.38,1.38,-2.02,-1.07,2.2,2.17,1.38,2.97,0.63,0.75,1.22,1.38
2. Penyediaan Makan Minum,6.59,6.67,6.63,6.89,6.89,1.35,2.2,1.39,2.51,6.89,6.59,6.75,6.55,7.65,6.89
J. Informasi dan Komunikasi,9.06,9.33,9.3,9.42,9.42,2.88,2.43,3.33,0.81,9.42,9.06,9.6,9.24,9.78,9.42
K. Jasa Keuangan dan Asuransi,7.23,5.86,5.96,6.61,6.61,3.32,-1.8,4.67,2.18,6.61,7.23,4.5,6.16,8.51,6.61
1. Jasa Perantara Keuangan,6.96,4.97,5.59,6.14,6.14,4.95,-3.51,7.04,-0.56,6.14,6.96,2.99,6.79,7.79,6.14
2. Asuransi dan Dana Pensiun,6.13,5.17,4.24,5.67,5.67,-0.03,-0.02,-0.05,9.9,5.67,6.13,4.23,2.41,9.8,5.67
3. Jasa Keuangan Lainnya,10.96,11.32,10.74,10.63,10.63,2.26,2.24,2.78,2.67,10.63,10.96,11.67,9.64,10.32,10.63
4. Jasa Penunjang Keuangan,1.54,1.47,1.99,2.08,2.08,0.89,-0.03,1.52,-0.06,2.08,1.54,1.4,3.03,2.34,2.08
L. Real Estate,5.41,5.57,5.71,5.76,5.76,2.5,1.21,1.29,0.78,5.76,5.41,5.73,6,5.88,5.76
"M,N. Jasa Perusahaan",10.36,10.15,10.17,10.25,10.25,2.44,2.98,2.68,2.01,10.25,10.36,9.94,10.22,10.49,10.25
"O. Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",6.4,7.64,5.66,4.66,4.66,-9.55,3.84,-3.59,12.69,4.66,6.4,8.86,1.85,2.05,4.66
P. Jasa Pendidikan,5.65,5.99,6.62,6.3,6.3,-10.78,3.93,4.37,8.94,6.3,5.65,6.33,7.83,5.44,6.3
Q. Jasa Kesehatan dan Kegiatan Sosial,8.65,8.89,8.98,8.66,8.66,-1.25,2.02,2.25,4.63,8.66,8.65,9.13,9.16,7.78,8.66
"R,S,T,U. Jasa lainnya",9.99,10.37,10.5,10.57,10.57,2.23,4,2.64,1.53,10.57,9.99,10.74,10.73,10.8,10.57
A. NILAI TAMBAH BRUTO ATAS HARGA DASAR,4.9,4.93,4.93,4.96,4.96,0.98,3.24,2.76,-1.96,4.96,4.9,4.96,4.92,5.03,4.96
B. PAJAK DIKURANG SUBSIDI ATAS PRODUK,10.09,8.39,7.8,6.52,6.52,-31.14,32.89,9.67,3.05,6.52,10.09,7.14,6.89,3.42,6.52
C. PRODUK DOMESTIK BRUTO,5.06,5.06,5.04,5.02,5.02,-0.52,4.2,3.05,-1.74,5.02,5.06,5.05,5.01,4.96,5.02
