PDB Lapangan Usaha (Seri 2010),,,,,,,,,,,,,,,
,[Seri 2010] Laju Pertumbuhan PDB Seri 2010 (Persen),,,,,,,,,,,,,,
J. Informasi dan Komunikasi,7.15,7.61,7.38,7.73,7.73,1.68,2.52,0.85,3.43,7.73,7.15,8.06,6.94,8.72,7.73
K. Jasa Keuangan dan Asuransi,1.64,1.57,1.34,1.93,1.93,4.17,0.02,-1.85,1.47,1.93,1.64,1.5,0.87,3.76,1.93
1. Jasa Perantara Keuangan,2.07,2.22,1.71,2.44,2.44,7.42,0.42,-3.95,1.09,2.44,2.07,2.36,0.68,4.74,2.44
2. Asuransi dan Dana Pensiun,-0.52,-1.11,-0.75,-0.99,-0.99,-1.29,-1.38,1.05,-0.1,-0.99,-0.52,-1.7,-0.03,-1.72,-0.99
3. Jasa Keuangan Lainnya,3.25,2.97,2.99,4.51,4.51,0.06,0.37,2.62,5.76,4.51,3.25,2.69,3.02,8.99,4.51
4. Jasa Penunjang Keuangan,1.03,1.25,1.21,0.63,0.63,-1.33,-0.06,1.26,-0.92,0.63,1.03,1.46,1.15,-1.06,0.63
L. Real Estate,3.78,2.96,2.17,1.72,1.72,0.03,0.01,0.02,0.32,1.72,3.78,2.16,0.63,0.39,1.72
"M,N. Jasa Perusahaan",5.96,6.94,8.21,8.77,8.77,3.64,2.43,0.18,3.84,8.77,5.96,7.92,10.79,10.42,8.77
"O. Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",-1.29,-1.41,2.8,2.52,2.52,-11.24,9.32,-5.12,10.54,2.52,-1.29,-1.52,12.48,1.77,2.52
P. Jasa Pendidikan,-1.44,-1.27,0.61,0.55,0.55,-14.82,7.19,0.65,9.23,0.55,-1.44,-1.11,4.42,0.38,0.55
Q. Jasa Kesehatan dan Kegiatan Sosial,4.53,5.54,2.85,2.75,2.75,-16.43,5.52,7.14,8.48,2.75,4.53,6.51,-1.7,2.49,2.75
"R,S,T,U. Jasa lainnya",8.25,8.75,8.88,9.47,9.47,3.14,1.14,-1.34,7.99,9.47,8.25,9.26,9.13,11.14,9.47
A. NILAI TAMBAH BRUTO ATAS HARGA DASAR,4.59,4.41,4.68,4.95,4.95,0.26,2.9,2.05,0.42,4.95,4.59,4.24,5.22,5.72,4.95
B. PAJAK DIKURANG SUBSIDI ATAS PRODUK,16.98,27.98,24.31,13.83,13.83,-23.34,23.98,-2.73,-0.97,13.83,16.98,38.49,18.03,-8.45,13.83
C. PRODUK DOMESTIK BRUTO,5.02,5.25,5.41,5.31,5.31,-0.94,3.73,1.83,0.36,5.31,5.02,5.46,5.73,5.01,5.31
