PDB Lapangan Usaha (Seri 2010),,,,,,,,,,,,,,,
,[Seri 2010] Laju Pertumbuhan PDB Seri 2010 (Persen),,,,,,,,,,,,,,
,Laju Pertumbuhan Kumulatif (c-to-c),,,,,Laju Pertumbuhan Triwulanan Berantai (q-to-q),,,,,Laju Pertumbuhan Triwulanan terhadap Triwulan yang Sama Tahun Sebelumnya (y-on-y),,,,
,2022,,,,,2022,,,,,2022,,,,
,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan
"A. Pertanian, Kehutanan, dan Perikanan",1.16,1.43,1.62,2.25,2.25,9.08,13.52,2.18,-17.4,2.25,1.16,1.68,1.95,4.51,2.25
"1. Pertanian, Peternakan, Perburuan dan Jasa Pertanian",1.56,1.57,1.48,2.33,2.33,16.79,14.53,2.55,-23.05,2.33,1.56,1.59,1.32,5.56,2.33
a. Tanaman Pangan,-0.08,1.3,-0.84,0.08,0.08,62.81,13.45,-17.73,-31.1,0.08,-0.08,2.55,-5.41,4.7,0.08
b. Tanaman Hortikultura,3.67,2.52,3.7,4.22,4.22,-0.35,17.77,1.59,-11.17,4.22,3.67,1.56,5.92,5.91,4.22
c. Tanaman Perkebunan,-0.34,0,0.93,1.64,1.64,-2.77,21.97,22.32,-28.17,1.64,-0.34,0.27,2.35,4.18,1.64
d. Peternakan,6.82,4.81,5.25,6.24,6.24,21.57,0.23,-3.61,-6.68,6.24,6.82,2.88,6.19,9.61,6.24
e. Jasa Pertanian dan Perburuan,1.58,1.71,1.63,2.65,2.65,17.77,5.17,3.72,-17.2,2.65,1.58,1.84,1.48,6.37,2.65
2. Kehutanan dan Penebangan Kayu,2.07,0.4,-1.11,-1.26,-1.26,-9.14,10.79,3.8,-5.93,-1.26,2.07,-1.06,-3.77,-1.71,-1.26
3. Perikanan,-0.64,1.1,2.86,2.79,2.79,-11,10.01,0.19,4.61,2.79,-0.64,2.73,6.38,2.62,2.79
B. Pertambangan dan Penggalian,3.82,3.91,3.67,4.38,4.38,-2.81,3.56,3.4,2.28,4.38,3.82,4.01,3.22,6.46,4.38
"1. Pertambangan Minyak, Gas dan Panas Bumi",-6.26,-5.04,-5.11,-4.82,-4.82,-5.49,-0.13,1.27,0.49,-4.82,-6.26,-3.8,-5.24,-3.95,-4.82
2. Pertambangan Batubara dan Lignit,3.64,3.96,5.88,8.11,8.11,-3.7,9.39,9.76,-0.72,8.11,3.64,4.25,9.41,14.8,8.11
3. Pertambangan Bijih Logam,25.78,23.96,18.65,18.01,18.01,5.44,11.06,-7.68,7.51,18.01,25.78,22.37,9.03,16.24,18.01
4. Pertambangan dan Penggalian Lainnya,4.79,2.94,2.47,2.33,2.33,-3.89,-5.92,6.78,5.6,2.33,4.79,1.04,1.58,1.96,2.33
C. Industri Pengolahan,5.07,4.54,4.64,4.89,4.89,0.75,0.04,3.16,1.6,4.89,5.07,4.01,4.83,5.64,4.89
1. Industri Batubara dan Pengilangan Migas,1.15,0.95,2.03,3.72,3.72,-1.08,1.4,-0.02,8.35,3.72,1.15,0.75,4.26,8.65,3.72
Industri Pengolahan Non Migas,5.47,4.9,4.89,5.01,5.01,0.93,-0.09,3.47,0.96,5.01,5.47,4.33,4.88,5.35,5.01
1. Industri Makanan dan Minuman,3.75,3.71,3.66,4.9,4.9,2.56,2.3,4.67,-1.03,4.9,3.75,3.68,3.57,8.68,4.9
2. Industri Pengolahan Tembakau,0.98,0.51,-0.65,-2.34,-2.34,-0.06,-10.74,3.01,1.08,-2.34,0.98,-0.03,-2.94,-7.11,-2.34
3. Industri Tekstil dan Pakaian Jadi,12.45,13.1,11.38,9.34,9.34,3.33,1.64,-0.92,-0.43,9.34,12.45,13.74,8.09,3.61,9.34
"4. Industri Kulit, Barang dari Kulit dan Alas Kaki",8.25,10.6,11.54,9.36,9.36,5.94,-2.7,3.91,-3.7,9.36,8.25,13.12,13.44,3.16,9.36
"5. Industri Kayu, Barang dari Kayu dan Gabus dan Barang Anyaman dari Bambu, Rotan dan Sejenisnya",8.27,6.83,2.99,0.59,0.59,1.89,-4.49,-3.57,-0.07,0.59,8.27,5.36,-4.31,-6.23,0.59
6. Industri Kertas dan Barang dari Kertas; Percetakan dan Reproduksi Media Rekaman,2.95,3.43,4.47,3.73,3.73,0.03,0.74,2.03,-1.2,3.73,2.95,3.91,6.58,1.57,3.73
"7. Industri Kimia, Farmasi dan Obat Tradisional",6.47,4.28,1.57,0.69,0.69,-1.46,-3.4,0.41,2.72,0.69,6.47,2.1,-3.5,-1.83,0.69
"8. Industri Karet, Barang dari Karet dan Plastik",-12.13,-7.8,-5.46,-4.1,-4.1,-0.18,4.59,-3.64,-0.31,-4.1,-12.13,-3.23,-0.33,0.29,-4.1
9. Industri Barang Galian bukan Logam,1.35,-1.85,-1.9,-2,-2,-10.57,-0.29,9.36,0.18,-2,1.35,-4.87,-1.97,-2.3,-2
10. Industri Logam Dasar,7.9,11.86,14.68,14.8,14.8,-0.41,8.36,6.63,0.05,14.8,7.9,15.79,20.16,15.12,14.8
"11. Industri Barang Logam; Komputer, Barang Elektronik, Optik; dan Peralatan Listrik",6.8,3.47,6.4,6.71,6.71,1.42,-2.12,4.55,3.69,6.71,6.8,0.26,12.56,7.62,6.71
12. Industri Mesin dan Perlengkapan,9.92,10.56,12.93,11.37,11.37,4.55,0.11,5.93,-3.54,11.37,9.92,11.22,17.67,6.95,11.37
13. Industri Alat Angkutan,14.2,10.74,10.57,10.67,10.67,-0.08,-3.96,5.88,9.19,10.67,14.2,7.35,10.26,10.95,10.67
14. Industri Furnitur,4.36,2.12,0.12,-1.99,-1.99,0.2,-6.36,-1.86,-0.12,-1.99,4.36,-0.16,-3.85,-8.03,-1.99
15. Industri Pengolahan Lainnya; Jasa Reparasi dan Pemasangan Mesin dan Peralatan,1.94,2.93,4.88,6.08,6.08,0.07,1.06,5.61,2.61,6.08,1.94,3.93,8.77,9.6,6.08
D. Pengadaan Listrik dan Gas,7.04,8.18,8.14,6.61,6.61,0.26,0.94,1.89,-0.78,6.61,7.04,9.33,8.05,2.31,6.61
1. Ketenagalistrikan,8.09,8.92,8.92,7.06,7.06,-0.23,1.24,2.07,-1.19,7.06,8.09,9.74,8.93,1.87,7.06
2. Pengadaan Gas dan Produksi Es,-0.82,2.47,2.02,3.01,3.01,4.38,-1.47,0.36,2.73,3.01,-0.82,6.03,1.12,6.03,3.01
"E. Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",1.35,2.92,3.37,3.23,3.23,-3.24,4.79,0.13,1.3,3.23,1.35,4.46,4.26,2.84,3.23
F. Konstruksi,4.83,2.95,2.16,2.01,2.01,-1.24,-6.05,4.72,4.57,2.01,4.83,1.02,0.63,1.61,2.01
G. Perdagangan Besar dan Eceran; Reparasi Mobil dan Sepeda Motor,5.74,5.08,5.18,5.53,5.53,1.2,2.18,2.35,0.69,5.53,5.74,4.44,5.37,6.57,5.53
"1. Perdagangan Mobil, Sepeda Motor dan Reparasinya",7.45,5.38,5.6,5.94,5.94,-0.11,-2.55,4.09,5.5,5.94,7.45,3.34,6.03,6.88,5.94
"2. Perdagangan Besar dan Eceran, Bukan Mobil dan Sepeda Motor",5.36,5.01,5.09,5.44,5.44,1.5,3.25,1.98,-0.35,5.44,5.36,4.68,5.23,6.49,5.44
H. Transportasi dan Pergudangan,15.79,18.56,20.97,19.87,19.87,0.8,6.78,2.31,6.24,19.87,15.79,21.27,25.8,16.99,19.87
1. Angkutan Rel,42.97,50.69,73.18,69.75,69.75,2.67,36.41,9.72,5.36,69.75,42.97,56.9,126.59,61.9,69.75
2. Angkutan Darat,6.87,8.32,8.46,8.73,8.73,1.47,3.14,1.37,3.22,8.73,6.87,9.77,8.72,9.52,8.73
3. Angkutan Laut,-0.11,2.27,3.55,5.12,5.12,-7.99,5.17,4.57,8.22,5.12,-0.11,4.64,6.03,9.51,5.12
4. Angkutan Sungai Danau dan Penyeberangan,41.9,71.36,78.31,69.94,69.94,7.48,41.18,0.12,-0.84,69.94,41.9,100.91,91.55,50.64,69.94
5. Angkutan Udara,53.2,55.58,78.79,66.9,66.9,1.77,16.9,3.13,17.43,66.9,53.2,57.67,144.4,44.07,66.9
6. Pergudangan dan Jasa Penunjang Angkutan; Pos dan Kurir,40.94,43.53,47.97,40.54,40.54,1.18,7.48,3.96,9.97,40.54,40.94,46.03,57,24.32,40.54
I. Penyediaan Akomodasi dan Makan Minum,6.57,8.19,11.29,11.94,11.94,-0.3,4.94,1.17,7.49,11.94,6.57,9.79,17.79,13.77,11.94
1. Penyediaan Akomodasi,21.72,25,36.14,30.96,30.96,-1.23,7.36,5.6,6.2,30.96,21.72,28.23,62.63,18.91,30.96
2. Penyediaan Makan Minum,3.64,4.94,6.7,8.21,8.21,-0.08,4.39,0.13,7.81,8.21,3.64,6.22,10.3,12.59,8.21
