PDB Lapangan Usaha (Seri 2010),,,,,,,,,,,,,,,
,[Seri 2010] Laju Pertumbuhan PDB Seri 2010 (Persen),,,,,,,,,,,,,,
,Laju Pertumbuhan Kumulatif (c-to-c),,,,,Laju Pertumbuhan Triwulanan Berantai (q-to-q),,,,,Laju Pertumbuhan Triwulanan terhadap Triwulan yang Sama Tahun Sebelumnya (y-on-y),,,,
,2026,,,,,2026,,,,,2026,,,,
,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan
"A. Pertanian, Kehutanan, dan Perikanan",4.97,4.35,-,-,-,9.56,12.26,-,-,-,4.97,3.8,-,-,-
"1. Pertanian, Peternakan, Perburuan dan Jasa Pertanian",5.78,4.28,-,-,-,21.58,10.72,-,-,-,5.78,2.96,-,-,-
a. Tanaman Pangan,7.58,1.3,-,-,-,70.1,-0.62,-,-,-,7.58,-4.32,-,-,-
b. Tanaman Hortikultura,2.4,4.7,-,-,-,-9.37,31.98,-,-,-,2.4,6.51,-,-,-
c. Tanaman Perkebunan,2.28,2.86,-,-,-,6.49,19.11,-,-,-,2.28,3.34,-,-,-
d. Peternakan,11.84,11.7,-,-,-,25.41,0.73,-,-,-,11.84,11.57,-,-,-
e. Jasa Pertanian dan Perburuan,6.41,5.1,-,-,-,22.62,1.49,-,-,-,6.41,3.84,-,-,-
2. Kehutanan dan Penebangan Kayu,-0.65,2.85,-,-,-,-10.9,17.48,-,-,-,-0.65,6.02,-,-,-
3. Perikanan,2.78,4.95,-,-,-,-20.55,17.79,-,-,-,2.78,6.86,-,-,-
B. Pertambangan dan Penggalian,-2.14,-1.89,-,-,-,-8.2,1.57,-,-,-,-2.14,-1.64,-,-,-
"1. Pertambangan Minyak, Gas dan Panas Bumi",-3.11,-2.62,-,-,-,-5.9,2.58,-,-,-,-3.11,-2.15,-,-,-
2. Pertambangan Batubara dan Lignit,-1.16,-1.28,-,-,-,-16.02,-5.89,-,-,-,-1.16,-1.41,-,-,-
3. Pertambangan Bijih Logam,-12.22,-10.73,-,-,-,-0.27,16.86,-,-,-,-12.22,-9.42,-,-,-
4. Pertambangan dan Penggalian Lainnya,5.85,5.86,-,-,-,-2.3,1.34,-,-,-,5.85,5.87,-,-,-
C. Industri Pengolahan,5.04,4.78,-,-,-,-1.01,0.88,-,-,-,5.04,4.52,-,-,-
1. Industri Batubara dan Pengilangan Migas,3.88,-0.15,-,-,-,-10.39,-2.64,-,-,-,3.88,-3.97,-,-,-
Industri Pengolahan Non Migas,5.14,5.23,-,-,-,-0.08,1.2,-,-,-,5.14,5.32,-,-,-
1. Industri Makanan dan Minuman,7.04,6.77,-,-,-,0.41,0.89,-,-,-,7.04,6.51,-,-,-
2. Industri Pengolahan Tembakau,-4.05,-1.96,-,-,-,-8.21,9.13,-,-,-,-4.05,0.04,-,-,-
3. Industri Tekstil dan Pakaian Jadi,4.86,5.6,-,-,-,3.9,-1.51,-,-,-,4.86,6.36,-,-,-
"4. Industri Kulit, Barang dari Kulit dan Alas Kaki",5.28,8.25,-,-,-,5.08,2.72,-,-,-,5.28,11.3,-,-,-
"5. Industri Kayu, Barang dari Kayu dan Gabus dan Barang Anyaman dari Bambu, Rotan dan Sejenisnya",-0.02,1.94,-,-,-,-0.45,0.14,-,-,-,-0.02,3.98,-,-,-
6. Industri Kertas dan Barang dari Kertas; Percetakan dan Reproduksi Media Rekaman,5.15,2.77,-,-,-,0.22,-3.72,-,-,-,5.15,0.4,-,-,-
"7. Industri Kimia, Farmasi dan Obat Tradisional",7.41,6.18,-,-,-,1.83,1.76,-,-,-,7.41,4.99,-,-,-
"8. Industri Karet, Barang dari Karet dan Plastik",-9.01,-8.01,-,-,-,-0.03,0.11,-,-,-,-9.01,-6.98,-,-,-
9. Industri Barang Galian bukan Logam,9.12,8.96,-,-,-,-4.92,4.7,-,-,-,9.12,8.8,-,-,-
10. Industri Logam Dasar,3.78,2.19,-,-,-,-5.48,3.17,-,-,-,3.78,0.69,-,-,-
"11. Industri Barang Logam; Komputer, Barang Elektronik, Optik; dan Peralatan Listrik",10.35,9.2,-,-,-,0.29,-2.95,-,-,-,10.35,8.04,-,-,-
12. Industri Mesin dan Perlengkapan,21.93,12.64,-,-,-,-2.6,1.29,-,-,-,21.93,4.77,-,-,-
13. Industri Alat Angkutan,-5.02,0.15,-,-,-,0.04,6.38,-,-,-,-5.02,5.54,-,-,-
