PDB Lapangan Usaha (Seri 2010),,,,,,,,,,,,,,,
,[Seri 2010] Laju Pertumbuhan PDB Seri 2010 (Persen),,,,,,,,,,,,,,
14. Industri Furnitur,4.32,7.84,-,-,-,7.73,-5.21,-,-,-,4.32,11.82,-,-,-
15. Industri Pengolahan Lainnya; Jasa Reparasi dan Pemasangan Mesin dan Peralatan,6.39,9.32,-,-,-,3.84,6.06,-,-,-,6.39,12.22,-,-,-
D. Pengadaan Listrik dan Gas,-0.99,4.83,-,-,-,-5.23,9,-,-,-,-0.99,10.81,-,-,-
1. Ketenagalistrikan,-0.25,5.39,-,-,-,-4.77,8.93,-,-,-,-0.25,11.16,-,-,-
2. Pengadaan Gas dan Produksi Es,-8.49,-0.94,-,-,-,-9.95,9.78,-,-,-,-8.49,7.12,-,-,-
"E. Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",0.42,0.22,-,-,-,-0.7,0.54,-,-,-,0.42,0.03,-,-,-
F. Konstruksi,5.49,6.09,-,-,-,-4.47,2.12,-,-,-,5.49,6.68,-,-,-
G. Perdagangan Besar dan Eceran; Reparasi Mobil dan Sepeda Motor,6.26,6.33,-,-,-,0.13,3.26,-,-,-,6.26,6.39,-,-,-
"1. Perdagangan Mobil, Sepeda Motor dan Reparasinya",1.03,3.48,-,-,-,-1.65,2.45,-,-,-,1.03,5.99,-,-,-
"2. Perdagangan Besar dan Eceran, Bukan Mobil dan Sepeda Motor",7.34,6.89,-,-,-,0.48,3.41,-,-,-,7.34,6.47,-,-,-
H. Transportasi dan Pergudangan,8.04,6.81,-,-,-,-1.49,4.21,-,-,-,8.04,5.65,-,-,-
1. Angkutan Rel,-1.32,-1.76,-,-,-,-9.51,4.14,-,-,-,-1.32,-2.17,-,-,-
2. Angkutan Darat,10.09,9.29,-,-,-,1.21,4.5,-,-,-,10.09,8.53,-,-,-
3. Angkutan Laut,1.19,2.85,-,-,-,-11.18,9.04,-,-,-,1.19,4.42,-,-,-
4. Angkutan Sungai Danau dan Penyeberangan,7.32,3.18,-,-,-,2.16,-0.43,-,-,-,7.32,-0.67,-,-,-
5. Angkutan Udara,2.14,-2.9,-,-,-,-9.28,-1.99,-,-,-,2.14,-7.56,-,-,-
6. Pergudangan dan Jasa Penunjang Angkutan; Pos dan Kurir,8.53,7.48,-,-,-,-1.25,5.53,-,-,-,8.53,6.5,-,-,-
I. Penyediaan Akomodasi dan Makan Minum,13.14,11.83,-,-,-,3.91,4.03,-,-,-,13.14,10.6,-,-,-
1. Penyediaan Akomodasi,3.67,4.31,-,-,-,-8.95,10.05,-,-,-,3.67,4.9,-,-,-
2. Penyediaan Makan Minum,15.2,13.49,-,-,-,6.87,2.85,-,-,-,15.2,11.87,-,-,-
J. Informasi dan Komunikasi,7.14,7.05,-,-,-,1.09,2.71,-,-,-,7.14,6.97,-,-,-
K. Jasa Keuangan dan Asuransi,4.68,3.89,-,-,-,1.38,-0.03,-,-,-,4.68,3.11,-,-,-
1. Jasa Perantara Keuangan,3.83,3.88,-,-,-,1.29,-0.06,-,-,-,3.83,3.92,-,-,-
2. Asuransi dan Dana Pensiun,5.92,2.77,-,-,-,-0.52,0.54,-,-,-,5.92,-0.19,-,-,-
3. Jasa Keuangan Lainnya,5.83,4.64,-,-,-,4.73,-0.29,-,-,-,5.83,3.47,-,-,-
4. Jasa Penunjang Keuangan,12.82,9.95,-,-,-,-1.66,-2.37,-,-,-,12.82,7.16,-,-,-
L. Real Estate,3.54,3.59,-,-,-,0.17,1.08,-,-,-,3.54,3.64,-,-,-
"M,N. Jasa Perusahaan",4.91,5,-,-,-,-0.03,4.13,-,-,-,4.91,5.08,-,-,-
"O. Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",6.45,6.67,-,-,-,13.04,0.56,-,-,-,6.45,6.89,-,-,-
P. Jasa Pendidikan,5.18,5.56,-,-,-,-6.89,3.71,-,-,-,5.18,5.92,-,-,-
Q. Jasa Kesehatan dan Kegiatan Sosial,7.62,7.24,-,-,-,-5.5,3.36,-,-,-,7.62,6.88,-,-,-
"R,S,T,U. Jasa lainnya",9.91,8.09,-,-,-,-0.33,1.83,-,-,-,9.91,6.36,-,-,-
A. NILAI TAMBAH BRUTO ATAS HARGA DASAR,5.36,5.22,-,-,-,-0.03,3.35,-,-,-,5.36,5.08,-,-,-
B. PAJAK DIKURANG SUBSIDI ATAS PRODUK,11.8,10.79,-,-,-,-15.23,12.44,-,-,-,11.8,9.92,-,-,-
C. PRODUK DOMESTIK BRUTO,5.61,5.45,-,-,-,-0.77,3.73,-,-,-,5.61,5.29,-,-,-
