PDB Lapangan Usaha (Seri 2010),,,,,,,,,,,,,,,
,[Seri 2010] Laju Pertumbuhan PDB Seri 2010 (Persen),,,,,,,,,,,,,,
1. Industri Batubara dan Pengilangan Migas,-1.41,-2.14,-0.26,1.04,1.04,-8.36,6.06,5.28,2.44,1.04,-1.41,-2.82,3.41,4.82,1.04
Industri Pengolahan Non Migas,4.64,4.64,4.71,4.75,4.75,0.42,-0.21,4.14,0.51,4.75,4.64,4.63,4.84,4.89,4.75
1. Industri Makanan dan Minuman,5.87,5.7,5.74,5.9,5.9,0.49,1.29,3.6,0.85,5.9,5.87,5.53,5.82,6.35,5.9
2. Industri Pengolahan Tembakau,7.63,6.35,4.07,3.49,3.49,-3.74,-3.7,8.39,1.41,3.49,7.63,5.05,0.03,1.89,3.49
3. Industri Tekstil dan Pakaian Jadi,2.64,1.3,3.32,4.26,4.26,5.92,-2.63,5.37,-1.38,4.26,2.64,-0.03,7.43,7.17,4.26
"4. Industri Kulit, Barang dari Kulit dan Alas Kaki",5.9,3.92,6.01,6.83,6.83,0.82,-4.06,9.37,3.19,6.83,5.9,1.93,10.15,9.16,6.83
"5. Industri Kayu, Barang dari Kayu dan Gabus dan Barang Anyaman dari Bambu, Rotan dan Sejenisnya",3.97,4.04,3.73,2.79,2.79,-0.18,0.12,4.62,-4.31,2.79,3.97,4.12,3.13,0.04,2.79
6. Industri Kertas dan Barang dari Kertas; Percetakan dan Reproduksi Media Rekaman,6.13,3.03,2.93,2.61,2.61,0.95,-2.94,5.79,-1.92,2.61,6.13,0.03,2.74,1.67,2.61
"7. Industri Kimia, Farmasi dan Obat Tradisional",8.1,8.06,6.33,5.86,5.86,3.8,-1.33,1.54,0.45,5.86,8.1,8.01,3.08,4.47,5.86
"8. Industri Karet, Barang dari Karet dan Plastik",-5.24,-1.64,0.03,1.75,1.75,0.39,2.92,0.61,2.96,1.75,-5.24,2.13,3.46,7.03,1.75
9. Industri Barang Galian bukan Logam,9.98,4.85,1.63,-0.6,-0.6,-9.71,-6.2,11.26,-0.79,-0.6,9.98,-0.12,-3.86,-6.51,-0.6
10. Industri Logam Dasar,16.57,17.34,15.59,13.34,13.34,-1.97,5.94,0.9,2.47,13.34,16.57,18.07,12.36,7.36,13.34
"11. Industri Barang Logam; Komputer, Barang Elektronik, Optik; dan Peralatan Listrik",2.78,3.45,4.75,6.16,6.16,-1.7,3.14,4.41,4.18,6.16,2.78,4.11,7.29,10.28,6.16
12. Industri Mesin dan Perlengkapan,-1.34,-1.57,-0.13,-0.42,-0.42,0.46,-1.37,12.7,-11.61,-0.42,-1.34,-1.8,2.55,-1.3,-0.42
13. Industri Alat Angkutan,-5.26,-3.52,-2.39,-2.1,-2.1,2.64,-6.69,5.19,-1.98,-2.1,-5.26,-1.58,-0.07,-1.25,-2.1
14. Industri Furnitur,1.66,0.5,2.56,2.07,2.07,-4.33,-2.81,5.58,2.58,2.07,1.66,-0.66,6.76,0.7,2.07
15. Industri Pengolahan Lainnya; Jasa Reparasi dan Pemasangan Mesin dan Peralatan,2.68,4.04,3.77,3.54,3.54,1.11,0.94,1.44,-0.64,3.54,2.68,5.43,3.25,2.86,3.54
D. Pengadaan Listrik dan Gas,5.35,5.37,5.25,4.77,4.77,-2.47,1.46,3.42,1.07,4.77,5.35,5.39,5.02,3.42,4.77
1. Ketenagalistrikan,7.78,7.42,7.14,6.47,6.47,-2.06,1.97,3.01,1.65,6.47,7.78,7.07,6.61,4.59,6.47
2. Pengadaan Gas dan Produksi Es,-13.34,-11.29,-10.25,-9.51,-9.51,-6.27,-3.46,7.48,-4.58,-9.51,-13.34,-9.05,-8.2,-7.2,-9.51
"E. Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",4.44,2.61,1.74,1.57,1.57,-0.76,0.3,-0.94,2.5,1.57,4.44,0.85,0.04,1.06,1.57
F. Konstruksi,7.59,7.44,7.46,7.02,7.02,-2.57,-1.72,6.06,4.19,7.02,7.59,7.29,7.48,5.81,7.02
G. Perdagangan Besar dan Eceran; Reparasi Mobil dan Sepeda Motor,4.58,4.73,4.77,4.89,4.89,0.12,2.81,2.13,0.1,4.89,4.58,4.87,4.85,5.23,4.89
"1. Perdagangan Mobil, Sepeda Motor dan Reparasinya",-0.1,-0.06,-0.01,-0.04,-0.04,0.36,-2.76,2.95,-0.6,-0.04,-0.1,-0.03,0.11,-0.12,-0.04
"2. Perdagangan Besar dan Eceran, Bukan Mobil dan Sepeda Motor",5.67,5.8,5.83,5.98,5.98,0.07,4.02,1.96,0.25,5.98,5.67,5.93,5.88,6.4,5.98
H. Transportasi dan Pergudangan,8.66,9.12,8.96,8.69,8.69,-1.62,7.05,0.98,1.47,8.69,8.66,9.56,8.64,7.92,8.69
1. Angkutan Rel,18.16,21.25,18.77,18.61,18.61,-3.2,13.23,-1.33,9.28,18.61,18.16,24.11,14.31,18.19,18.61
2. Angkutan Darat,9.93,10.1,10.06,9.89,9.89,-0.03,5.91,1.1,2.19,9.89,9.93,10.27,9.97,9.4,9.89
3. Angkutan Laut,3.99,3.14,2.26,2.42,2.42,-3.76,2.84,2.27,1.63,2.42,3.99,2.33,0.6,2.87,2.42
4. Angkutan Sungai Danau dan Penyeberangan,5.65,5.48,5.07,4.44,4.44,-2.97,8.44,-3.61,1.18,4.44,5.65,5.32,4.27,2.61,4.44
5. Angkutan Udara,4.91,6.73,7.61,6.75,6.75,-8.22,13.72,3.82,-3.74,6.75,4.91,8.38,9.23,4.32,6.75
6. Pergudangan dan Jasa Penunjang Angkutan; Pos dan Kurir,9.32,10.37,9.7,9.37,9.37,-1.01,7.75,-0.54,2.21,9.37,9.32,11.37,8.43,8.42,9.37
I. Penyediaan Akomodasi dan Makan Minum,9.34,9.67,9.17,8.46,8.46,-0.93,4.03,0.44,2.85,8.46,9.34,10,8.21,6.47,8.46
1. Penyediaan Akomodasi,8.73,10.77,9.75,8.61,8.61,-6.91,8.73,2.42,1.79,8.61,8.73,12.7,7.89,5.52,8.61
2. Penyediaan Makan Minum,9.48,9.41,9.03,8.42,8.42,0.59,2.92,-0.06,3.12,8.42,9.48,9.35,8.29,6.7,8.42
J. Informasi dan Komunikasi,8.41,8.03,7.62,7.57,7.57,1.73,2.67,0.51,2.35,7.57,8.41,7.66,6.82,7.45,7.57
K. Jasa Keuangan dan Asuransi,3.93,5.9,5.76,4.74,4.74,2.27,2.25,-1.81,-0.91,4.74,3.93,7.9,5.49,1.74,4.74
1. Jasa Perantara Keuangan,5.15,8.82,8.56,6.8,6.8,3.11,3.91,-3.84,-1.27,6.8,5.15,12.6,8.03,1.73,6.8
2. Asuransi dan Dana Pensiun,-0.24,-1.62,-1.21,-1.02,-1.02,1.87,-2.16,2.05,-2.11,-1.02,-0.24,-2.98,-0.39,-0.43,-1.02
3. Jasa Keuangan Lainnya,5.29,4.88,4.48,4.6,4.6,-0.27,1.14,1.89,2.13,4.6,5.29,4.48,3.71,4.96,4.6
4. Jasa Penunjang Keuangan,-1.49,-1.17,-0.77,-0.56,-0.56,-2.39,-0.11,2.3,0.3,-0.56,-1.49,-0.84,0.02,0.04,-0.56
L. Real Estate,2.54,2.35,2.34,2.5,2.5,0.37,0.24,1.41,0.93,2.5,2.54,2.16,2.32,2.97,2.5
"M,N. Jasa Perusahaan",9.63,8.77,8.49,8.38,8.38,1.7,3.92,-0.06,2.32,8.38,9.63,7.96,7.93,8.08,8.38
"O. Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",18.89,10.31,8.36,6.43,6.43,4.19,0.23,-16.93,16.61,6.43,18.89,2.9,3.96,1.16,6.43
P. Jasa Pendidikan,7.43,4.8,4.07,3.76,3.76,-10.27,6.68,-6.41,14.92,3.76,7.43,2.46,2.58,2.95,3.76
Q. Jasa Kesehatan dan Kegiatan Sosial,11.65,10.06,9.23,8.13,8.13,-7.48,6.07,0.97,6.17,8.13,11.65,8.59,7.67,5.2,8.13
"R,S,T,U. Jasa lainnya",8.92,8.89,9.24,9.8,9.8,-0.06,3.85,-1.01,8.4,9.8,8.92,8.85,9.95,11.36,9.8
A. NILAI TAMBAH BRUTO ATAS HARGA DASAR,5.51,5.38,5.26,5.11,5.11,-0.72,3.91,1.5,-0.01,5.11,5.51,5.24,5.04,4.69,5.11
B. PAJAK DIKURANG SUBSIDI ATAS PRODUK,-3.16,-1.22,0.13,3.24,3.24,-3.28,1.2,1.63,12.96,3.24,-3.16,0.77,2.9,12.37,3.24
C. PRODUK DOMESTIK BRUTO,5.11,5.08,5.04,5.03,5.03,-0.83,3.79,1.5,0.52,5.03,5.11,5.05,4.95,5.02,5.03
