Date,ihsg
2020-10-13,5132.57177734375
2020-10-14,5176.09912109375
2020-10-15,5105.14990234375
2020-10-16,5103.4140625
2020-10-19,5126.330078125
2020-10-20,5099.83984375
2020-10-21,5096.44580078125
2020-10-22,5091.81591796875
2020-10-23,5112.18798828125
2020-10-26,5144.048828125
2020-10-27,5128.22509765625
2020-11-02,5115.1279296875
2020-11-03,5159.4521484375
2020-11-04,5105.19921875
2020-11-05,5260.326171875
2020-11-06,5335.52880859375
2020-11-09,5356.0048828125
2020-11-10,5462.73876953125
2020-11-11,5509.51318359375
2020-11-12,5458.60205078125
2020-11-13,5461.05810546875
2020-11-16,5494.8720703125
2020-11-17,5529.93994140625
2020-11-18,5557.51806640625
2020-11-19,5594.05908203125
2020-11-20,5571.65576171875
2020-11-23,5652.76416015625
2020-11-24,5701.02880859375
2020-11-25,5679.2470703125
2020-11-26,5759.916015625
2020-11-27,5783.3349609375
2020-11-30,5612.4150390625
2020-12-01,5724.7421875
2020-12-02,5813.98681640625
2020-12-03,5822.94189453125
2020-12-04,5810.48291015625
2020-12-07,5930.7587890625
2020-12-08,5944.4091796875
2020-12-10,5933.6982421875
2020-12-11,5938.3291015625
2020-12-14,6012.51611328125
2020-12-15,6010.1279296875
2020-12-16,6118.40185546875
2020-12-17,6113.3818359375
2020-12-18,6104.32421875
2020-12-21,6165.6240234375
2020-12-22,6023.2890625
2020-12-23,6008.708984375
2020-12-28,6093.55419921875
2020-12-29,6036.173828125
2020-12-30,5979.0732421875
2021-01-04,6104.89794921875
2021-01-05,6137.3427734375
2021-01-06,6065.68212890625
2021-01-07,6153.6328125
2021-01-08,6257.8349609375
2021-01-11,6382.93701171875
2021-01-12,6395.6689453125
2021-01-13,6435.205078125
2021-01-14,6428.31494140625
2021-01-15,6373.412109375
2021-01-18,6389.833984375
2021-01-19,6321.85595703125
2021-01-20,6429.7578125
2021-01-21,6413.89208984375
2021-01-22,6307.126953125
2021-01-25,6258.57177734375
2021-01-26,6140.1708984375
2021-01-27,6109.16796875
2021-01-28,5979.38720703125
2021-01-29,5862.35205078125
2021-02-01,6067.544921875
2021-02-02,6043.8408203125
2021-02-03,6077.7451171875
2021-02-04,6107.2158203125
2021-02-05,6151.72900390625
2021-02-08,6208.8662109375
2021-02-09,6181.671875
2021-02-10,6201.828125
2021-02-11,6222.52099609375
2021-02-15,6270.32421875
2021-02-16,6292.39599609375
2021-02-17,6227.72802734375
2021-02-18,6200.30810546875
2021-02-19,6231.93212890625
2021-02-22,6255.31201171875
2021-02-23,6272.80712890625
2021-02-24,6251.05419921875
2021-02-25,6289.64599609375
2021-02-26,6241.7958984375
2021-03-01,6338.51318359375
2021-03-02,6359.205078125
2021-03-03,6376.7568359375
2021-03-04,6290.798828125
2021-03-05,6258.7490234375
2021-03-08,6248.46484375
2021-03-09,6199.64697265625
2021-03-10,6264.67919921875
2021-03-12,6358.208984375
2021-03-15,6324.2587890625
2021-03-16,6309.69921875
2021-03-17,6277.22802734375
2021-03-18,6347.8291015625
2021-03-19,6356.16015625
2021-03-22,6301.130859375
2021-03-23,6252.7119140625
2021-03-24,6156.14013671875
2021-03-25,6122.8759765625
2021-03-26,6195.56201171875
2021-03-29,6166.81787109375
2021-03-30,6071.44189453125
2021-03-31,5985.52197265625
2021-04-01,6011.4560546875
2021-04-05,5970.2861328125
2021-04-06,6002.77001953125
2021-04-07,6036.6162109375
2021-04-08,6071.72412109375
2021-04-09,6070.208984375
2021-04-12,5948.56884765625
2021-04-13,5927.43505859375
2021-04-14,6050.27587890625
2021-04-15,6079.5009765625
2021-04-16,6086.2578125
2021-04-19,6052.5400390625
2021-04-20,6038.32177734375
2021-04-21,5993.2421875
2021-04-22,5994.18408203125
2021-04-23,6016.86376953125
2021-04-26,5964.82080078125
2021-04-27,5959.62109375
2021-04-28,5974.47900390625
2021-04-29,6012.9609375
2021-04-30,5995.6162109375
2021-05-03,5952.59716796875
2021-05-04,5963.81982421875
2021-05-05,5975.9111328125
2021-05-06,5970.240234375
2021-05-07,5928.30908203125
2021-05-10,5975.787109375
2021-05-11,5938.35107421875
2021-05-17,5833.85986328125
2021-05-18,5834.39404296875
2021-05-19,5760.583984375
2021-05-20,5797.59716796875
2021-05-21,5773.1201171875
2021-05-24,5763.6318359375
2021-05-25,5815.83984375
2021-05-27,5841.828125
2021-05-28,5848.6162109375
2021-05-31,5947.462890625
2021-06-02,6031.578125
2021-06-03,6091.51318359375
2021-06-04,6065.166015625
2021-06-07,6069.93505859375
2021-06-08,5999.369140625
2021-06-09,6047.47509765625
2021-06-10,6107.5380859375
2021-06-11,6095.4970703125
2021-06-14,6080.3837890625
2021-06-15,6089.0380859375
2021-06-16,6078.56787109375
2021-06-17,6068.44677734375
2021-06-18,6007.1201171875
2021-06-21,5996.2529296875
2021-06-22,6087.841796875
2021-06-23,6034.54296875
2021-06-24,6012.05615234375
2021-06-25,6022.39892578125
2021-06-28,5939.47119140625
2021-06-29,5949.0498046875
2021-06-30,5985.48876953125
2021-07-01,6005.9580078125
2021-07-02,6023.0078125
2021-07-05,6005.60888671875
2021-07-06,6047.11083984375
2021-07-07,6044.037109375
2021-07-08,6039.89599609375
2021-07-09,6039.84423828125
2021-07-12,6078.56787109375
2021-07-13,6012.0322265625
2021-07-14,5979.21484375
2021-07-15,6046.75390625
2021-07-16,6072.509765625
2021-07-19,6017.39404296875
2021-07-21,6029.97607421875
2021-07-22,6137.546875
2021-07-23,6101.68994140625
2021-07-26,6106.39404296875
2021-07-27,6097.048828125
2021-07-28,6088.52294921875
2021-07-29,6120.72705078125
2021-07-30,6070.0390625
2021-08-02,6096.54296875
2021-08-03,6130.57080078125
2021-08-04,6159.03515625
2021-08-05,6205.4169921875
2021-08-06,6203.43115234375
2021-08-09,6127.4560546875
2021-08-10,6088.408203125
2021-08-12,6139.65185546875
2021-08-13,6139.4921875
2021-08-16,6087.9130859375
2021-08-18,6118.14990234375
2021-08-19,5992.32177734375
2021-08-20,6030.77197265625
2021-08-23,6109.828125
2021-08-24,6089.4970703125
2021-08-25,6113.240234375
2021-08-26,6058.080078125
2021-08-27,6041.3662109375
2021-08-30,6144.90185546875
2021-08-31,6150.298828125
2021-09-01,6090.93310546875
2021-09-02,6078.22900390625
2021-09-03,6126.9208984375
2021-09-06,6126.93798828125
2021-09-07,6112.39990234375
2021-09-08,6026.02001953125
2021-09-09,6068.21923828125
2021-09-10,6094.873046875
2021-09-13,6088.1572265625
2021-09-14,6129.09521484375
2021-09-15,6110.22900390625
2021-09-16,6109.94189453125
2021-09-17,6133.24609375
2021-09-20,6076.31494140625
2021-09-21,6060.7568359375
2021-09-22,6108.26513671875
2021-09-23,6142.7119140625
2021-09-24,6144.81494140625
2021-09-27,6122.4951171875
2021-09-28,6113.11181640625
2021-09-29,6162.55419921875
2021-09-30,6286.94287109375
2021-10-01,6228.84521484375
2021-10-04,6342.68603515625
2021-10-05,6288.048828125
2021-10-06,6417.3232421875
2021-10-07,6416.39599609375
2021-10-08,6481.76904296875
2021-10-11,6459.69677734375
2021-10-12,6486.26708984375
2021-10-13,6536.90380859375
2021-10-14,6626.11376953125
2021-10-15,6633.337890625
2021-10-18,6658.76806640625
2021-10-19,6655.998046875
2021-10-21,6632.97216796875
2021-10-22,6643.73779296875
2021-10-25,6625.69677734375
2021-10-26,6656.93701171875
2021-10-27,6602.208984375
2021-10-28,6524.076171875
2021-10-29,6591.34619140625
2021-11-01,6552.88916015625
2021-11-02,6493.27490234375
2021-11-03,6552.1298828125
2021-11-04,6586.44287109375
2021-11-05,6581.78515625
2021-11-08,6632.296875
2021-11-09,6669.9248046875
2021-11-10,6683.14501953125
2021-11-11,6691.341796875
2021-11-12,6651.05419921875
2021-11-15,6616.02880859375
2021-11-16,6651.20703125
2021-11-17,6675.80419921875
2021-11-18,6636.46923828125
2021-11-19,6720.26318359375
2021-11-22,6723.38623046875
2021-11-23,6677.8759765625
2021-11-24,6683.27685546875
2021-11-25,6699.34619140625
2021-11-26,6561.55322265625
2021-11-29,6608.2900390625
2021-11-30,6533.93212890625
2021-12-01,6507.6767578125
2021-12-02,6583.81982421875
2021-12-03,6538.505859375
2021-12-06,6547.1162109375
2021-12-07,6602.56884765625
2021-12-08,6603.7978515625
2021-12-09,6643.93212890625
2021-12-10,6652.921875
2021-12-13,6662.87109375
2021-12-14,6615.63720703125
2021-12-15,6626.2568359375
2021-12-16,6594.7978515625
2021-12-17,6601.93212890625
2021-12-20,6547.11181640625
2021-12-21,6554.30908203125
2021-12-22,6529.5927734375
2021-12-23,6555.55078125
2021-12-24,6562.89990234375
2021-12-27,6575.44384765625
2021-12-28,6598.3427734375
2021-12-29,6600.6767578125
2021-12-30,6581.48193359375
2022-01-03,6665.30810546875
2022-01-04,6695.373046875
2022-01-05,6662.298828125
2022-01-06,6653.35107421875
2022-01-07,6701.31591796875
2022-01-10,6691.1240234375
2022-01-11,6647.97021484375
2022-01-12,6647.06494140625
2022-01-13,6658.35595703125
2022-01-14,6693.40087890625
2022-01-17,6645.0478515625
2022-01-18,6614.05908203125
2022-01-19,6591.98095703125
2022-01-20,6626.87109375
2022-01-21,6726.373046875
2022-01-24,6655.166015625
2022-01-25,6568.1728515625
2022-01-26,6600.81884765625
2022-01-27,6611.1611328125
2022-01-28,6645.51123046875
2022-01-31,6631.15087890625
2022-02-02,6707.65185546875
2022-02-03,6683.85107421875
2022-02-04,6731.39111328125
2022-02-07,6804.93701171875
2022-02-08,6789.52197265625
2022-02-09,6834.60595703125
2022-02-10,6823.64208984375
2022-02-11,6815.60693359375
2022-02-14,6734.48583984375
2022-02-15,6807.4970703125
2022-02-16,6850.1982421875
2022-02-17,6835.1171875
2022-02-18,6892.81787109375
2022-02-21,6902.96484375
2022-02-22,6861.994140625
2022-02-23,6920.05615234375
2022-02-24,6817.81982421875
2022-02-25,6888.1708984375
2022-03-01,6921.44091796875
2022-03-02,6868.40185546875
2022-03-04,6928.328125
2022-03-07,6869.06591796875
2022-03-08,6814.18310546875
2022-03-09,6864.44091796875
2022-03-10,6924.0078125
2022-03-11,6922.60205078125
2022-03-14,6952.2041015625
2022-03-15,6918.18505859375
2022-03-16,6992.39501953125
2022-03-17,6964.384765625
2022-03-18,6954.96484375
2022-03-21,6955.18115234375
2022-03-22,7000.82177734375
2022-03-23,6996.115234375
2022-03-24,7049.68505859375
2022-03-25,7002.5322265625
2022-03-28,7049.60302734375
2022-03-29,7011.68896484375
2022-03-30,7053.18994140625
2022-03-31,7071.44189453125
2022-04-01,7078.759765625
2022-04-04,7116.2177734375
2022-04-05,7148.298828125
2022-04-06,7104.2158203125
2022-04-07,7127.3671875
2022-04-08,7210.8349609375
2022-04-11,7203.7939453125
2022-04-12,7214.78076171875
2022-04-13,7262.77685546875
2022-04-14,7235.5322265625
2022-04-18,7275.2890625
2022-04-19,7199.23193359375
2022-04-20,7227.36181640625
2022-04-21,7276.19287109375
2022-04-22,7225.60595703125
2022-04-25,7215.97900390625
2022-04-26,7232.15283203125
2022-04-27,7196.76416015625
2022-04-28,7228.9140625
2022-05-09,6909.7509765625
2022-05-10,6819.7939453125
2022-05-11,6816.203125
2022-05-12,6599.83984375
2022-05-13,6597.9931640625
2022-05-17,6644.466796875
2022-05-18,6793.4140625
2022-05-19,6823.3349609375
2022-05-20,6918.14404296875
2022-05-23,6840.77490234375
2022-05-24,6914.14111328125
2022-05-25,6883.50390625
2022-05-27,7026.255859375
2022-05-30,7037.56494140625
2022-05-31,7148.97021484375
2022-06-02,7148.72314453125
2022-06-03,7182.9609375
2022-06-06,7096.58203125
2022-06-07,7141.044921875
2022-06-08,7193.31396484375
2022-06-09,7182.830078125
2022-06-10,7086.64794921875
2022-06-13,6995.44189453125
2022-06-14,7049.8818359375
2022-06-15,7007.0498046875
2022-06-16,7050.326171875
2022-06-17,6936.966796875
2022-06-20,6976.376953125
2022-06-21,7044.07080078125
2022-06-22,6984.31103515625
2022-06-23,6998.26708984375
2022-06-24,7042.93701171875
2022-06-27,7016.05517578125
2022-06-28,6996.4560546875
2022-06-29,6942.35107421875
2022-06-30,6911.58203125
2022-07-01,6794.328125
2022-07-04,6639.171875
2022-07-05,6703.26611328125
2022-07-06,6646.41015625
2022-07-07,6652.5869140625
2022-07-08,6740.21923828125
2022-07-11,6722.14501953125
2022-07-12,6718.2939453125
2022-07-13,6640.990234375
2022-07-14,6690.0869140625
2022-07-15,6651.90478515625
2022-07-18,6659.2529296875
2022-07-19,6736.091796875
2022-07-20,6874.7431640625
2022-07-21,6864.130859375
2022-07-22,6886.9619140625
2022-07-25,6858.4072265625
2022-07-26,6871.537109375
2022-07-27,6898.2158203125
2022-07-28,6956.81689453125
2022-07-29,6951.123046875
2022-08-01,6968.783203125
2022-08-02,6988.1572265625
2022-08-03,7046.634765625
2022-08-04,7057.34814453125
2022-08-05,7084.65478515625
2022-08-08,7086.84912109375
2022-08-09,7102.8798828125
2022-08-10,7086.23583984375
2022-08-11,7160.384765625
2022-08-12,7129.27685546875
2022-08-15,7093.27587890625
2022-08-16,7133.453125
2022-08-18,7186.55810546875
2022-08-19,7172.43408203125
2022-08-22,7107.98291015625
2022-08-23,7163.26513671875
2022-08-24,7194.7060546875
2022-08-25,7174.2080078125
2022-08-26,7135.248046875
2022-08-29,7132.044921875
2022-08-30,7159.47314453125
2022-08-31,7178.58984375
2022-09-01,7153.10400390625
2022-09-02,7177.17919921875
2022-09-05,7231.8828125
2022-09-06,7233.15478515625
2022-09-07,7186.7568359375
2022-09-08,7232.01708984375
2022-09-09,7242.65576171875
2022-09-12,7254.4638671875
2022-09-13,7318.01611328125
2022-09-14,7278.078125
2022-09-15,7305.60107421875
2022-09-16,7168.8701171875
2022-09-19,7195.48779296875
2022-09-20,7196.951171875
2022-09-21,7188.31396484375
2022-09-22,7218.90576171875
2022-09-23,7178.5830078125
2022-09-26,7127.5029296875
2022-09-27,7112.44921875
2022-09-28,7077.03076171875
2022-09-29,7036.1982421875
2022-09-30,7040.7978515625
2022-10-03,7009.7177734375
2022-10-04,7072.255859375
2022-10-05,7075.384765625
2022-10-06,7076.623046875
2022-10-07,7026.783203125
2022-10-10,6994.39501953125
2022-10-11,6939.14501953125
2022-10-12,6909.208984375
2022-10-13,6880.625
2022-10-14,6814.52978515625
2022-10-17,6831.115234375
2022-10-18,6834.494140625
2022-10-19,6860.416015625
2022-10-20,6980.65185546875
2022-10-21,7017.77099609375
2022-10-24,7053.0439453125
2022-10-25,7048.3798828125
2022-10-26,7043.93896484375
2022-10-27,7091.76123046875
2022-10-28,7056.0400390625
2022-10-31,7098.89013671875
2022-11-01,7052.30322265625
2022-11-02,7015.68994140625
2022-11-03,7034.5732421875
2022-11-04,7045.52685546875
2022-11-07,7102.39599609375
2022-11-08,7050.1259765625
2022-11-09,7070.083984375
2022-11-10,6966.8369140625
2022-11-11,7089.2060546875
2022-11-14,7019.39208984375
2022-11-15,7035.5
2022-11-16,7014.3837890625
2022-11-17,7044.98583984375
2022-11-18,7082.18115234375
2022-11-21,7063.2470703125
2022-11-22,7030.587890625
2022-11-23,7054.123046875
2022-11-24,7080.51513671875
2022-11-25,7053.14990234375
2022-11-28,7017.35791015625
2022-11-29,7012.06884765625
2022-11-30,7081.31298828125
2022-12-01,7020.80322265625
2022-12-02,7019.63916015625
2022-12-05,6987.328125
2022-12-06,6892.56982421875
2022-12-07,6818.751953125
2022-12-08,6804.22705078125
2022-12-09,6715.1181640625
2022-12-12,6734.4521484375
2022-12-13,6810.31591796875
2022-12-14,6801.7490234375
