PDB Lapangan Usaha (Seri 2010),,,,,,,,,,,,,,,
,[Seri 2010] Laju Pertumbuhan PDB Seri 2010 (Persen),,,,,,,,,,,,,,
,Laju Pertumbuhan Kumulatif (c-to-c),,,,,Laju Pertumbuhan Triwulanan Berantai (q-to-q),,,,,Laju Pertumbuhan Triwulanan terhadap Triwulan yang Sama Tahun Sebelumnya (y-on-y),,,,
,2025,,,,,2025,,,,,2025,,,,
,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan
"A. Pertanian, Kehutanan, dan Perikanan",10.53,5.63,5.38,5.33,5.33,9.74,13.53,3.33,-18.33,5.33,10.53,1.66,4.93,5.14,5.33
"1. Pertanian, Peternakan, Perburuan dan Jasa Pertanian",13.6,6.88,6.52,5.74,5.74,18.25,13.76,3.35,-26,5.74,13.6,1.6,5.88,2.87,5.74
a. Tanaman Pangan,42.25,11.92,11.27,9.94,9.94,64.14,11.74,-8.78,-37.95,9.94,42.25,-6.01,9.92,3.81,9.94
b. Tanaman Hortikultura,1.83,4.22,3.48,3.57,3.57,-8.09,26.89,0.6,-11.48,3.57,1.83,6.18,2.19,3.85,3.57
c. Tanaman Perkebunan,3.14,3.21,3.74,2.95,2.95,4.26,17.89,18.19,-31.07,2.95,3.14,3.26,4.57,0.14,2.95
d. Peternakan,8.83,8.87,8.1,7.78,7.78,19.67,0.97,-5.9,-6.14,7.78,8.83,8.92,6.51,6.72,7.78
e. Jasa Pertanian dan Perburuan,12.64,6.99,6.73,6.13,6.13,19.87,4.01,4.08,-19.83,6.13,12.64,2.08,6.24,4.03,6.13
2. Kehutanan dan Penebangan Kayu,-4.29,-2.21,-1.64,-0.29,-0.29,-6.8,10.09,8.46,-6.62,-0.29,-4.29,-0.25,-0.6,3.92,-0.29
3. Perikanan,2.3,2.31,2.3,4.95,4.95,-13.16,13.3,2.2,11.73,4.95,2.3,2.33,2.27,12.34,4.95
B. Pertambangan dan Penggalian,-1.23,0.38,-0.43,-0.66,-0.66,-7.42,1.06,1.47,3.96,-0.66,-1.23,2.03,-1.98,-1.31,-0.66
