PDB Lapangan Usaha (Seri 2010),,,,,,,,,,,,,,,
,[Seri 2010] Laju Pertumbuhan PDB Seri 2010 (Persen),,,,,,,,,,,,,,
"1. Pertambangan Minyak, Gas dan Panas Bumi",2.59,1.75,0.98,1.14,1.14,-1.32,1.57,1.15,0.23,1.14,2.59,0.93,-0.49,1.61,1.14
2. Pertambangan Batubara dan Lignit,-0.91,-0.52,-2.87,-1.26,-1.26,-12.52,-5.64,1.79,22.54,-1.26,-0.91,-0.1,-7.29,2.96,-1.26
3. Pertambangan Bijih Logam,-11.83,-4.97,-4.38,-7.92,-7.92,-7.87,13.25,-4.63,-18.5,-7.92,-11.83,2.06,-3.19,-18.9,-7.92
4. Pertambangan dan Penggalian Lainnya,3.7,5.32,5.59,4.79,4.79,-5.32,1.32,7.04,-0.11,4.79,3.7,6.97,6.09,2.58,4.79
C. Industri Pengolahan,4.55,5.12,5.26,5.3,5.3,-0.67,1.38,4.09,0.55,5.3,4.55,5.68,5.54,5.4,5.3
1. Industri Batubara dan Pengilangan Migas,7.28,6.9,6.27,6.92,6.92,-6.21,5.32,3.89,5.94,6.92,7.28,6.53,5.13,8.72,6.92
Industri Pengolahan Non Migas,4.31,4.96,5.17,5.15,5.15,-0.13,1.03,4.11,0.04,5.15,4.31,5.6,5.58,5.08,5.15
1. Industri Makanan dan Minuman,6.04,6.09,6.23,6.38,6.38,0.19,1.4,3.93,1.16,6.38,6.04,6.15,6.49,6.81,6.38
2. Industri Pengolahan Tembakau,-3.77,0.33,-0.11,-1.37,-1.37,-9.09,4.67,2.67,-2.72,-1.37,-3.77,4.59,-0.93,-4.97,-1.37
3. Industri Tekstil dan Pakaian Jadi,4.64,4.5,3.28,3.55,3.55,3.42,-2.89,1.91,1.98,3.55,4.64,4.35,0.93,4.37,3.55
"4. Industri Kulit, Barang dari Kulit dan Alas Kaki",6.95,7.62,4.87,3.31,3.31,-1.22,-2.84,0.72,2.38,3.31,6.95,8.31,-0.25,-1.03,3.31
"5. Industri Kayu, Barang dari Kayu dan Gabus dan Barang Anyaman dari Bambu, Rotan dan Sejenisnya",0.11,-1.8,-4.48,-3.29,-3.29,-0.11,-3.7,-1.78,6.19,-3.29,0.11,-3.71,-9.6,0.33,-3.29
6. Industri Kertas dan Barang dari Kertas; Percetakan dan Reproduksi Media Rekaman,1.06,2.99,2.72,3.36,3.36,0.35,0.84,2.97,1.05,3.36,1.06,4.99,2.19,5.29,3.36
"7. Industri Kimia, Farmasi dan Obat Tradisional",3.68,6.52,8.24,8.35,8.35,3.02,4.11,3.63,-2.23,8.35,3.68,9.39,11.65,8.68,8.35
"8. Industri Karet, Barang dari Karet dan Plastik",2.45,-0.07,-1.13,-4.07,-4.07,-3.9,-2.08,-0.09,-6.97,-4.07,2.45,-2.52,-3.2,-12.53,-4.07
9. Industri Barang Galian bukan Logam,-1.68,4.01,5.17,6.16,6.16,-5.04,5.01,8.5,0.73,6.16,-1.68,10.07,7.34,8.98,6.16
10. Industri Logam Dasar,14.47,14.69,16.04,15.71,15.71,4.52,6.34,4.16,-0.87,15.71,14.47,14.91,18.62,14.76,15.71
"11. Industri Barang Logam; Komputer, Barang Elektronik, Optik; dan Peralatan Listrik",6.18,4.08,4.74,4.58,4.58,-5.36,-0.88,8.44,2.37,4.58,6.18,2.04,5.98,4.13,4.58
12. Industri Mesin dan Perlengkapan,-0.65,8.98,9.97,13.98,13.98,1.13,17.88,6.05,0.14,13.98,-0.65,18.75,11.74,26.6,13.98
13. Industri Alat Angkutan,-3.46,-2.25,-1.95,-2.64,-2.64,0.34,-4.26,4.74,-5.32,-2.64,-3.46,-0.95,-1.37,-4.73,-2.64
14. Industri Furnitur,9.86,4.98,1.79,1.6,1.6,4.37,-11.58,1.04,8.38,1.6,9.86,-0.05,-4.34,1.06,1.6
15. Industri Pengolahan Lainnya; Jasa Reparasi dan Pemasangan Mesin dan Peralatan,7.54,7.33,9.55,9.24,9.24,5.71,0.55,7.85,-5.52,9.24,7.54,7.13,13.9,8.31,9.24
D. Pengadaan Listrik dan Gas,5.11,2.99,2.95,3.1,3.1,-0.88,-2.61,5.42,1.75,3.1,5.11,0.9,2.86,3.55,3.1
1. Ketenagalistrikan,5.6,3.39,3.39,3.44,3.44,-1.11,-2.25,5.23,1.84,3.44,5.6,1.23,3.4,3.59,3.44
2. Pengadaan Gas dan Produksi Es,0.49,-0.92,-1.44,-0.31,-0.31,1.5,-6.22,7.43,0.86,-0.31,0.49,-2.38,-2.43,3.14,-0.31
"E. Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",0.18,0.5,1.43,0.94,0.94,-1.63,0.94,1.52,-1.3,0.94,0.18,0.82,3.32,-0.51,0.94
F. Konstruksi,2.18,3.57,3.79,3.81,3.81,-5.92,0.98,5.28,3.88,3.81,2.18,4.98,4.21,3.89,3.81
G. Perdagangan Besar dan Eceran; Reparasi Mobil dan Sepeda Motor,5.04,5.21,5.3,5.49,5.49,-0.06,3.14,2.21,0.68,5.49,5.04,5.38,5.46,6.07,5.49
"1. Perdagangan Mobil, Sepeda Motor dan Reparasinya",-0.55,-0.34,-0.35,0.4,0.4,-0.07,-2.34,2.7,2.43,0.4,-0.55,-0.13,-0.38,2.65,0.4
"2. Perdagangan Besar dan Eceran, Bukan Mobil dan Sepeda Motor",6.26,6.39,6.48,6.55,6.55,-0.06,4.26,2.12,0.34,6.55,6.26,6.5,6.67,6.77,6.55
H. Transportasi dan Pergudangan,9.01,8.75,8.71,8.78,8.78,-0.63,6.58,1.08,1.81,8.78,9.01,8.52,8.62,8.98,8.78
1. Angkutan Rel,17.56,13.06,10.7,9.14,9.14,-3.71,5.05,-3.94,8.07,9.14,17.56,9.07,6.19,5.01,9.14
2. Angkutan Darat,9.89,9.94,9.93,9.75,9.75,0.42,6,1.05,1.55,9.75,9.89,9.98,9.92,9.24,9.75
3. Angkutan Laut,6.87,8.35,8.98,10.25,10.25,-0.02,5.67,2.63,5.05,10.25,6.87,9.8,10.19,13.9,10.25
4. Angkutan Sungai Danau dan Penyeberangan,7.39,6.95,7.23,7.09,7.09,1.55,7.58,-2.46,0.12,7.09,7.39,6.54,7.81,6.68,7.09
5. Angkutan Udara,4.87,2.21,1.35,1.99,1.99,-7.73,8.31,3.72,0.23,1.99,4.87,-0.12,-0.23,3.88,1.99
6. Pergudangan dan Jasa Penunjang Angkutan; Pos dan Kurir,9.51,9.4,9.58,9.66,9.66,-0.02,7.54,0.05,2.14,9.66,9.51,9.3,9.95,9.88,9.66
I. Penyediaan Akomodasi dan Makan Minum,5.75,6.99,7.5,7.41,7.41,-1.59,6.42,0.73,1.57,7.41,5.75,8.18,8.5,7.15,7.41
1. Penyediaan Akomodasi,-0.61,-0.6,-0.49,-0.4,-0.4,-12.32,8.76,2.74,1.9,-0.4,-0.61,-0.59,-0.28,-0.17,-0.4
2. Penyediaan Makan Minum,7.24,8.82,9.46,9.34,9.34,1.09,5.92,0.28,1.49,9.34,7.24,10.35,10.73,8.98,9.34
J. Informasi dan Komunikasi,7.72,7.82,8.44,8.35,8.35,1.99,2.87,2.12,0.89,8.35,7.72,7.92,9.65,8.09,8.35
K. Jasa Keuangan dan Asuransi,3.98,3.59,2.65,3.96,3.96,4.52,1.48,-4.13,6.13,3.96,3.98,3.2,0.77,7.92,3.96
1. Jasa Perantara Keuangan,5.23,3.14,1.48,3.4,3.4,6.66,-0.14,-6.73,10.07,3.4,5.23,1.13,-1.92,9.34,3.4
2. Asuransi dan Dana Pensiun,-2.44,1.93,2.56,3.48,3.48,-0.18,6.7,-0.44,0.24,3.48,-2.44,6.39,3.8,6.29,3.48
3. Jasa Keuangan Lainnya,7.73,8.18,7.9,6.75,6.75,2.36,1.98,0.7,-1.6,6.75,7.73,8.63,7.35,3.44,6.75
4. Jasa Penunjang Keuangan,0.2,1.65,4.34,6.32,6.32,-2.24,2.78,8.76,2.62,6.32,0.2,3.1,9.62,12.15,6.32
L. Real Estate,2.94,3.32,3.54,3.58,3.58,0.34,0.98,1.65,0.69,3.58,2.94,3.71,3.95,3.71,3.58
"M,N. Jasa Perusahaan",9.27,9.29,9.51,9.1,9.1,2.81,3.97,0.52,0.42,9.1,9.27,9.31,9.94,7.9,9.1
"O. Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",4.79,4.74,4.62,3.86,3.86,7.93,0.14,-17.21,13.59,3.86,4.79,4.7,4.33,1.63,3.86
P. Jasa Pendidikan,5.04,3.16,5.58,4.99,4.99,-8.45,2.98,2.07,7.48,4.99,5.04,1.4,10.59,3.43,4.99
Q. Jasa Kesehatan dan Kegiatan Sosial,5.78,4.76,5.47,5.59,5.59,-6.97,4.08,3.92,5.29,5.59,5.78,3.8,6.83,5.95,5.59
"R,S,T,U. Jasa lainnya",9.84,10.59,10.37,9.93,9.93,-1.42,5.24,-2.25,7.2,9.93,9.84,11.31,9.92,8.71,9.93
A. NILAI TAMBAH BRUTO ATAS HARGA DASAR,5.23,5.08,5.16,5.16,5.16,-0.21,3.62,1.84,-0.13,5.16,5.23,4.94,5.3,5.17,5.16
B. PAJAK DIKURANG SUBSIDI ATAS PRODUK,-3.31,3.01,1.64,3.89,3.89,-16.78,14.36,-7.95,25.28,3.89,-3.31,9.26,-1.03,9.76,3.89
C. PRODUK DOMESTIK BRUTO,4.87,5,5.01,5.11,5.11,-0.98,4.04,1.42,0.86,5.11,4.87,5.12,5.04,5.39,5.11
