PDB Lapangan Usaha (Seri 2010),,,,,,,,,,,,,,,
,[Seri 2010] Laju Pertumbuhan PDB Seri 2010 (Persen),,,,,,,,,,,,,,
,Laju Pertumbuhan Kumulatif (c-to-c),,,,,Laju Pertumbuhan Triwulanan Berantai (q-to-q),,,,,Laju Pertumbuhan Triwulanan terhadap Triwulan yang Sama Tahun Sebelumnya (y-on-y),,,,
,2021,,,,,2021,,,,,2021,,,,
,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan
"A. Pertanian, Kehutanan, dan Perikanan",3.48,1.91,1.74,1.87,1.87,10.35,12.94,1.9,-19.42,1.87,3.48,0.56,1.44,2.33,1.87
"1. Pertanian, Peternakan, Perburuan dan Jasa Pertanian",5.37,1.74,1.36,1.12,1.12,15.24,14.49,2.82,-26.14,1.12,5.37,-1.23,0.68,0.21,1.12
a. Tanaman Pangan,12.42,0.83,-1.3,-1.4,-1.4,59.81,10.54,-10.8,-37.76,-1.4,12.42,-7.77,-5.55,-1.92,-1.4
b. Tanaman Hortikultura,3.01,2.28,-0.51,0.53,0.53,0.01,20.21,-2.58,-11.16,0.53,3.01,1.68,-5.35,4.04,0.53
c. Tanaman Perkebunan,2.17,1.15,3.88,3.52,3.52,-0.22,21.23,19.83,-29.44,3.52,2.17,0.32,8.33,2.28,3.52
d. Peternakan,2.09,4.4,2.07,0.32,0.32,7.82,4.07,-6.61,-9.59,0.32,2.09,6.71,-2.49,-5.26,0.32
e. Jasa Pertanian dan Perburuan,5.43,2.26,1.85,1.43,1.43,15.85,4.9,4.08,-21,1.43,5.43,-0.59,1.09,-0.08,1.43
2. Kehutanan dan Penebangan Kayu,-6.58,-3.91,-1.41,0.07,0.07,-6.72,14.29,6.73,-7.9,0.07,-6.58,-1.45,3.32,4.8,0.07
3. Perikanan,-1.31,4.07,4.23,5.45,5.45,-2.37,6.41,-3.25,8.44,5.45,-1.31,9.69,4.55,8.99,5.45
B. Pertambangan dan Penggalian,-2.02,1.53,3.61,4,4,-1.56,3.37,4.2,-0.83,4,-2.02,5.22,7.78,5.15,4
"1. Pertambangan Minyak, Gas dan Panas Bumi",-6.87,-5.99,-4.76,-4.42,-4.42,-2.6,-2.68,2.81,-0.86,-4.42,-6.87,-5.06,-2.23,-3.38,-4.42
2. Pertambangan Batubara dan Lignit,-7.05,2.53,6.59,6.6,6.6,-0.93,8.76,4.58,-5.37,6.6,-7.05,13.27,14.95,6.63,6.6
3. Pertambangan Bijih Logam,24.48,20.99,22.29,22.84,22.84,4.28,14.15,3.62,0.85,22.84,24.48,18.08,24.73,24.39,22.84
4. Pertambangan dan Penggalian Lainnya,-0.62,0.57,1.22,1.97,1.97,-4.54,-2.43,6.22,5.21,1.97,-0.62,1.82,2.49,4.08,1.97
C. Industri Pengolahan,-1.38,2.46,2.87,3.39,3.39,0.61,1.07,2.35,0.82,3.39,-1.38,6.58,3.68,4.92,3.39
1. Industri Batubara dan Pengilangan Migas,-7.7,-2.42,-1.89,0.57,0.57,6.19,1.8,-3.39,3.97,0.57,-7.7,3.37,-0.77,8.58,0.57
Industri Pengolahan Non Migas,-0.71,2.98,3.37,3.67,3.67,0.08,0.99,2.93,0.52,3.67,-0.71,6.91,4.12,4.58,3.67
1. Industri Makanan dan Minuman,2.45,2.7,2.97,2.54,2.54,0.07,2.37,4.78,-5.69,2.54,2.45,2.95,3.49,1.23,2.54
2. Industri Pengolahan Tembakau,-9.58,-5.74,-3.68,-1.32,-1.32,4.94,-9.84,6.1,5.62,-1.32,-9.58,-1.07,0.69,6.03,-1.32
3. Industri Tekstil dan Pakaian Jadi,-13.28,-9.11,-7.21,-4.08,-4.08,-2.65,0.48,4.27,3.87,-4.08,-13.28,-4.54,-3.34,5.94,-4.08
"4. Industri Kulit, Barang dari Kulit dan Alas Kaki",1.74,2.47,7.2,7.75,7.75,7.02,-6.88,3.61,5.91,7.75,1.74,3.26,18.12,9.35,7.75
"5. Industri Kayu, Barang dari Kayu dan Gabus dan Barang Anyaman dari Bambu, Rotan dan Sejenisnya",-8.51,-7.32,-5.31,-3.71,-3.71,-4.82,-1.85,6.17,1.97,-3.71,-8.51,-6.07,-1.24,1.13,-3.71
6. Industri Kertas dan Barang dari Kertas; Percetakan dan Reproduksi Media Rekaman,-2.67,-3.34,-4.02,-2.89,-2.89,-2.29,-0.19,-0.54,3.67,-2.89,-2.67,-4.01,-5.37,0.56,-2.89
"7. Industri Kimia, Farmasi dan Obat Tradisional",11.46,10.29,10.09,9.61,9.61,0.21,0.74,6.23,0.97,9.61,11.46,9.15,9.71,8.28,9.61
"8. Industri Karet, Barang dari Karet dan Plastik",3.84,7.53,4.07,1.08,1.08,5.07,-5.03,-6.45,-0.92,1.08,3.84,11.72,-2.8,-7.51,1.08
9. Industri Barang Galian bukan Logam,-7.28,0.03,1.05,0.89,0.89,-11.36,6.24,6.12,0.52,0.89,-7.28,8.05,2.96,0.46,0.89
10. Industri Logam Dasar,7.71,12.66,11.57,11.5,11.5,2.74,0.97,2.75,4.42,11.5,7.71,18.03,9.52,11.31,11.5
"11. Industri Barang Logam; Komputer, Barang Elektronik, Optik; dan Peralatan Listrik",-4.08,1.15,-2.02,-1.62,-1.62,-5.51,4.27,-6.87,8.44,-1.62,-4.08,6.73,-8.06,-0.49,-1.62
12. Industri Mesin dan Perlengkapan,3.22,9.36,11.56,11.43,11.43,5.63,-1.06,0.12,6.13,11.43,3.22,16.35,16.25,11.05,11.43
13. Industri Alat Angkutan,-10.93,10.84,16.13,17.82,17.82,7.28,2.18,3.08,8.51,17.82,-10.93,45.7,27.84,22.61,17.82
14. Industri Furnitur,8.04,7.61,7.41,8.16,8.16,5.97,-2.12,1.91,4.42,8.16,8.04,7.18,7.02,10.37,8.16
15. Industri Pengolahan Lainnya; Jasa Reparasi dan Pemasangan Mesin dan Peralatan,1.24,1.07,-1.59,-1.64,-1.64,-3.61,-0.87,0.92,1.83,-1.64,1.24,0.9,-6.48,-1.81,-1.64
D. Pengadaan Listrik dan Gas,1.68,5.23,4.76,5.55,5.55,0.98,-1.17,3.1,4.79,5.55,1.68,9.09,3.85,7.81,5.55
1. Ketenagalistrikan,1.65,4.87,4.42,5.61,5.61,0.67,-0.28,2.83,5.65,5.61,1.65,8.3,3.56,9.07,5.61
2. Pengadaan Gas dan Produksi Es,1.92,8.19,7.52,5.05,5.05,3.33,-7.84,5.23,-2.02,5.05,1.92,15.92,6.21,-1.81,5.05
"E. Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",5.46,5.62,5.27,4.97,4.97,-0.59,1.67,0.33,2.7,4.97,5.46,5.78,4.56,4.14,4.97
F. Konstruksi,-0.79,1.72,2.43,2.81,2.81,-2.1,-2.51,5.13,3.56,2.81,-0.79,4.42,3.84,3.91,2.81
G. Perdagangan Besar dan Eceran; Reparasi Mobil dan Sepeda Motor,-1.28,3.92,4.33,4.63,4.63,1.01,3.45,1.44,-0.43,4.63,-1.28,9.5,5.12,5.54,4.63
"1. Perdagangan Mobil, Sepeda Motor dan Reparasinya",-5.47,12.31,13.18,12.13,12.13,1.57,1.33,1.44,4.66,12.13,-5.47,37.89,14.93,9.26,12.13
"2. Perdagangan Besar dan Eceran, Bukan Mobil dan Sepeda Motor",-0.3,2.25,2.58,3.11,3.11,0.89,3.92,1.44,-1.53,3.11,-0.3,4.84,3.22,4.72,3.11
H. Transportasi dan Pergudangan,-13.09,2.75,1.57,3.24,3.24,-6.05,1.96,-1.37,14.24,3.24,-13.09,25.1,-0.72,7.93,3.24
1. Angkutan Rel,-44.98,-12.41,-11.12,-3.37,-3.37,-13.3,24.31,-24.02,47.45,-3.37,-44.98,67.25,-7.9,20.73,-3.37
2. Angkutan Darat,-4.41,5.7,4.87,4.55,4.55,-1.6,0.41,2.36,2.47,4.55,-4.41,18.15,3.28,3.63,4.55
3. Angkutan Laut,-4.09,5.19,3.6,2.89,2.89,-7.03,0.39,3.2,4.78,2.89,-4.09,16.41,0.67,0.93,2.89
4. Angkutan Sungai Danau dan Penyeberangan,-18.43,-7.61,-6.64,-0.42,-0.42,-10.88,-0.28,5.01,26.09,-0.42,-18.43,6.55,-4.74,17.67,-0.42
5. Angkutan Udara,-52.35,-17.09,-17.8,-8.01,-8.01,-20.75,13.58,-33.47,99.21,-8.01,-52.35,137.74,-19.74,19.3,-8.01
6. Pergudangan dan Jasa Penunjang Angkutan; Pos dan Kurir,-15.89,3.67,-0.72,5.03,5.03,-13.71,3.73,-3.3,38.87,5.03,-15.89,33.62,-8.56,20.2,5.03
I. Penyediaan Akomodasi dan Makan Minum,-7.28,5.33,3.5,3.88,3.88,-1.8,1.86,-5.71,11.29,3.88,-7.28,21.54,-0.14,4.97,3.88
1. Penyediaan Akomodasi,-17.67,5.33,0.88,5.77,5.77,-3.26,1.91,-16.74,45.24,5.77,-17.67,45.11,-8.34,19.22,5.77
2. Penyediaan Makan Minum,-4.96,5.32,4,3.52,3.52,-1.51,1.85,-3.58,5.62,3.52,-4.96,17.84,1.38,2.16,3.52
J. Informasi dan Komunikasi,8.72,7.79,7.02,6.82,6.82,0.81,1.66,1.9,1.73,6.82,8.72,6.9,5.54,6.24,6.82
K. Jasa Keuangan dan Asuransi,-2.97,2.37,3,1.56,1.56,-0.16,0.15,-1.24,-1.36,1.56,-2.97,8.33,4.29,-2.59,1.56
1. Jasa Perantara Keuangan,-3.76,4.64,5.23,2.71,2.71,0.56,0.13,-2.34,-2.84,2.71,-3.76,14.63,6.47,-4.46,2.71
2. Asuransi dan Dana Pensiun,2.23,1.06,1.09,0.71,0.71,-1.17,-0.19,-0.64,1.62,0.71,2.23,-0.09,1.15,-0.4,0.71
3. Jasa Keuangan Lainnya,-8.23,-5.29,-3.5,-2.39,-2.39,-2.09,0.91,2.29,-0.04,-2.39,-8.23,-2.19,0.2,1.03,-2.39
4. Jasa Penunjang Keuangan,5.85,5.54,5.38,5.18,5.18,2.16,-0.49,1.58,1.3,5.18,5.85,5.23,5.07,4.61,5.18
L. Real Estate,0.94,1.88,2.4,2.78,2.78,0.18,1.59,1.54,0.57,2.78,0.94,2.82,3.42,3.94,2.78
"M,N. Jasa Perusahaan",-6.1,1.31,0.68,0.73,0.73,-1.31,0.56,-2.42,4.19,0.73,-6.1,9.94,-0.59,0.89,0.73
"O. Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",-2.24,3.77,-0.81,-0.33,-0.33,-9.19,9.57,-16.93,22.17,-0.33,-2.24,9.94,-9.95,0.99,-0.33
P. Jasa Pendidikan,-1.54,2.16,-0.11,0.11,0.11,-12.96,6.84,-4.68,13.62,0.11,-1.54,5.89,-4.43,0.71,0.11
Q. Jasa Kesehatan dan Kegiatan Sosial,3.38,7.44,9.8,10.45,10.45,-10.33,3.56,16.08,4.04,10.45,3.38,11.68,14.04,12.16,10.45
"R,S,T,U. Jasa lainnya",-5.15,2.71,1.69,2.12,2.12,-1.52,0.21,-1.23,6.04,2.12,-5.15,11.97,-0.3,3.35,2.12
A. NILAI TAMBAH BRUTO ATAS HARGA DASAR,-0.95,2.95,2.97,3.27,3.27,-0.14,3.25,1.1,-0.06,3.27,-0.95,7.03,2.99,4.18,3.27
B. PAJAK DIKURANG SUBSIDI ATAS PRODUK,7.02,7.7,11.37,15.14,15.14,-18.69,4.72,14.13,27.67,15.14,7.02,8.36,18.26,24.06,15.14
C. PRODUK DOMESTIK BRUTO,-0.69,3.11,3.25,3.7,3.7,-0.93,3.3,1.57,1.05,3.7,-0.69,7.08,3.53,5.03,3.7
