PDB Lapangan Usaha (Seri 2010),,,,,,,,,,,,,,,
,[Seri 2010] Laju Pertumbuhan PDB Seri 2010 (Persen),,,,,,,,,,,,,,
,Laju Pertumbuhan Kumulatif (c-to-c),,,,,Laju Pertumbuhan Triwulanan Berantai (q-to-q),,,,,Laju Pertumbuhan Triwulanan terhadap Triwulan yang Sama Tahun Sebelumnya (y-on-y),,,,
,2023,,,,,2023,,,,,2023,,,,
,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan
"A. Pertanian, Kehutanan, dan Perikanan",0.44,1.29,1.36,1.31,1.31,4.84,15.32,1.64,-17.7,1.31,0.44,2.03,1.49,1.13,1.31
"1. Pertanian, Peternakan, Perburuan dan Jasa Pertanian",0.47,0.35,0.25,0.18,0.18,11.16,14.27,2.38,-23.16,0.18,0.47,0.24,0.07,-0.07,0.18
a. Tanaman Pangan,-3,-3.14,-2.58,-3.86,-3.86,50.83,13.14,-16.04,-37.15,-3.86,-3,-3.27,-1.29,-9.96,-3.86
b. Tanaman Hortikultura,-2.65,-1.67,0.11,-0.32,-0.32,-8.4,19.96,5.91,-15.52,-0.32,-2.65,-0.84,3.37,-1.7,-0.32
c. Tanaman Perkebunan,4.67,3.73,1.79,1.72,1.72,-2.32,19.97,17.5,-26.29,1.72,4.67,2.96,-1.1,1.5,1.72
d. Peternakan,0.81,1.29,1.73,3.71,3.71,11.82,1.17,-2.75,0.18,3.71,0.81,1.76,2.66,10.21,3.71
e. Jasa Pertanian dan Perburuan,0.86,0.59,0.25,0.17,0.17,11.67,4.62,2.95,-16.94,0.17,0.86,0.34,-0.4,-0.1,0.17
2. Kehutanan dan Penebangan Kayu,1.81,1.37,2.76,2.61,2.61,-5.89,9.88,8.25,-8.76,2.61,1.81,0.98,5.31,2.14,2.61
3. Perikanan,0.03,5.21,5.75,5.49,5.49,-13.25,20.9,-2.68,2.63,5.49,0.03,9.93,6.78,4.76,5.49
B. Pertambangan dan Penggalian,4.92,4.97,5.65,6.12,6.12,-4.21,3.65,5.31,2.76,6.12,4.92,5.01,6.95,7.46,6.12
"1. Pertambangan Minyak, Gas dan Panas Bumi",0.96,0.92,0.99,0.73,0.73,-0.66,-0.21,1.53,-0.67,0.73,0.96,0.88,1.13,-0.04,0.73
2. Pertambangan Batubara dan Lignit,17.36,13.71,11.06,10.02,10.02,-1.55,2.88,5.87,-0.09,10.02,17.36,10.37,6.45,7.13,10.02
3. Pertambangan Bijih Logam,-5.41,-2.01,4.48,8.5,8.5,-14.2,18.65,7.66,9.43,8.5,-5.41,1.05,17.84,19.94,8.5
4. Pertambangan dan Penggalian Lainnya,1.08,3.5,4.65,5.37,5.37,-4.71,-1.28,7.57,6.09,5.37,1.08,6.08,6.86,7.36,5.37
C. Industri Pengolahan,4.43,4.65,4.84,4.64,4.64,-0.4,0.47,3.47,0.51,4.64,4.43,4.88,5.19,4.07,4.64
1. Industri Batubara dan Pengilangan Migas,1.94,5.07,5.73,4.16,4.16,-7.2,7.6,-1.06,1.06,4.16,1.94,8.16,7.04,-0.16,4.16
Industri Pengolahan Non Migas,4.67,4.61,4.75,4.69,4.69,0.28,-0.19,3.93,0.46,4.69,4.67,4.56,5.02,4.49,4.69
1. Industri Makanan dan Minuman,5.33,4.97,4.39,4.47,4.47,-0.61,1.61,3.32,0.34,4.47,5.33,4.62,3.28,4.71,4.47
2. Industri Pengolahan Tembakau,-7.26,-2.65,2.56,4.8,4.8,-0.21,-1.34,13.83,-0.44,4.8,-7.26,2.51,13.28,11.58,4.8
3. Industri Tekstil dan Pakaian Jadi,-0.07,-0.89,-1.5,-1.98,-1.98,-0.34,-0.02,-1.95,-1.15,-1.98,-0.07,-1.7,-2.72,-3.42,-1.98
"4. Industri Kulit, Barang dari Kulit dan Alas Kaki",-2.75,-1.58,-2.05,-0.34,-0.34,-0.12,-0.33,1.21,4.12,-0.34,-2.75,-0.38,-2.96,4.91,-0.34
"5. Industri Kayu, Barang dari Kayu dan Gabus dan Barang Anyaman dari Bambu, Rotan dan Sejenisnya",-6.23,-4.1,-0.38,1.2,1.2,1.89,-0.03,5.62,-1.36,1.2,-6.23,-1.86,7.51,6.12,1.2
6. Industri Kertas dan Barang dari Kertas; Percetakan dan Reproduksi Media Rekaman,2.22,3.36,4.09,4.52,4.52,0.67,2.98,3,-0.89,4.52,2.22,4.5,5.49,5.83,4.52
"7. Industri Kimia, Farmasi dan Obat Tradisional",-3.52,-2.46,-0.15,0.11,0.11,-3.16,-1.24,6.4,-0.89,0.11,-3.52,-1.36,4.53,0.85,0.11
"8. Industri Karet, Barang dari Karet dan Plastik",1.66,-2.86,-3.35,-3.63,-3.63,1.19,-4.51,-0.69,-0.47,-3.63,1.66,-7.18,-4.34,-4.49,-3.63
9. Industri Barang Galian bukan Logam,-2.1,-0.34,2.32,4.11,4.11,-10.38,3.29,15.6,2.02,4.11,-2.1,1.42,7.2,9.17,4.11
10. Industri Logam Dasar,15.51,13.42,12.5,14.17,14.17,-0.08,4.59,6.02,7.24,14.17,15.51,11.49,10.86,18.82,14.17
"11. Industri Barang Logam; Komputer, Barang Elektronik, Optik; dan Peralatan Listrik",12.78,15.02,14.57,13.67,13.67,6.28,1.82,1.32,1.35,13.67,12.78,17.32,13.68,11.12,13.67
12. Industri Mesin dan Perlengkapan,1.01,0.5,0.97,-0.03,-0.03,-1.26,-0.91,7.91,-8.16,-0.03,1.01,-0.02,1.86,-3.03,-0.03
13. Industri Alat Angkutan,17.27,13.54,11.41,7.63,7.63,5.61,-10.18,3.6,-0.81,7.63,17.27,9.66,7.31,-2.52,7.63
14. Industri Furnitur,-8.38,-5.63,-4.65,-2.04,-2.04,-0.19,-0.53,-1.76,8.76,-2.04,-8.38,-2.69,-2.59,6.07,-2.04
15. Industri Pengolahan Lainnya; Jasa Reparasi dan Pemasangan Mesin dan Peralatan,1.71,0.31,-0.83,-2.1,-2.1,-7.13,-1.7,3.58,-0.27,-2.1,1.71,-1.07,-2.97,-5.69,-2.1
D. Pengadaan Listrik dan Gas,2.67,2.91,3.64,4.91,4.91,0.61,1.42,3.77,2.63,4.91,2.67,3.15,5.06,8.68,4.91
1. Ketenagalistrikan,2.01,2.72,3.44,5.07,5.07,-0.09,2.64,3.46,3.62,5.07,2.01,3.43,4.83,9.94,5.07
2. Pengadaan Gas dan Produksi Es,8.03,4.47,5.32,3.54,3.54,6.34,-8.01,6.48,-5.61,3.54,8.03,0.86,7.01,-1.68,3.54
"E. Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",5.7,5.23,4.98,4.9,4.9,-0.55,3.87,-0.14,1.46,4.9,5.7,4.78,4.49,4.66,4.9
F. Konstruksi,0.32,2.7,3.94,4.91,4.91,-2.49,-1.44,5.87,5.84,4.91,0.32,5.23,6.39,7.68,4.91
G. Perdagangan Besar dan Eceran; Reparasi Mobil dan Sepeda Motor,4.94,5.12,5.11,4.85,4.85,-0.34,2.52,2.16,-0.27,4.85,4.94,5.29,5.09,4.09,4.85
"1. Perdagangan Mobil, Sepeda Motor dan Reparasinya",6.94,6.79,6.3,4.5,4.5,-0.06,-2.83,2.82,-0.37,4.5,6.94,6.64,5.34,-0.52,4.5
"2. Perdagangan Besar dan Eceran, Bukan Mobil dan Sepeda Motor",4.49,4.75,4.85,4.93,4.93,-0.41,3.76,2.01,-0.24,4.93,4.49,5.01,5.04,5.16,4.93
H. Transportasi dan Pergudangan,15.93,15.59,15.3,13.96,13.96,-0.11,6.18,1.84,2.15,13.96,15.93,15.28,14.74,10.33,13.96
1. Angkutan Rel,51.08,32.8,26.51,23.74,23.74,-4.19,7.8,7.14,5.7,23.74,51.08,19.4,16.58,16.95,23.74
2. Angkutan Darat,7.86,9.15,9.58,9.66,9.66,-0.06,5.58,1.38,2.73,9.66,7.86,10.41,10.41,9.89,9.66
