PDB Lapangan Usaha (Seri 2010),,,,,,,,,,,,,,,
,[Seri 2010] Laju Pertumbuhan PDB Seri 2010 (Persen),,,,,,,,,,,,,,
3. Angkutan Laut,19,18.62,18.28,15.47,15.47,-0.02,4.51,4.03,-0.62,15.47,19,18.26,17.65,8.04,15.47
4. Angkutan Sungai Danau dan Penyeberangan,40.12,21.29,15.26,13.54,13.54,-0.03,8.77,-2.64,2.81,13.54,40.12,7.95,4.98,8.84,13.54
5. Angkutan Udara,41.1,36.67,35.26,28.96,28.96,-0.33,10.08,3.01,0.8,28.96,41.1,32.88,32.73,13.93,28.96
6. Pergudangan dan Jasa Penunjang Angkutan; Pos dan Kurir,22.86,21.85,20.79,17.91,17.91,-0.01,5.78,2.16,2.21,17.91,22.86,20.91,18.82,10.43,17.91
I. Penyediaan Akomodasi dan Makan Minum,11.54,10.71,10.78,10,10,-2.25,3.4,2.1,4.53,10,11.54,9.91,10.93,7.88,10
1. Penyediaan Akomodasi,15.02,13.66,13.73,13.15,13.15,-4.47,4.9,6.99,4.08,13.15,15.02,12.39,13.87,11.59,13.15
2. Penyediaan Makan Minum,10.76,10.03,10.09,9.26,9.26,-1.71,3.05,0.92,4.65,9.26,10.76,9.34,10.2,6.97,9.26
J. Informasi dan Komunikasi,7.11,7.58,7.89,7.59,7.59,0.17,3.39,1.3,1.74,7.59,7.11,8.03,8.51,6.74,7.59
K. Jasa Keuangan dan Asuransi,4.45,3.65,4.18,4.77,4.77,4.86,-1.51,0.43,2.74,4.77,4.45,2.86,5.24,6.56,4.77
1. Jasa Perantara Keuangan,6.5,4.7,5.57,7.01,7.01,9.23,-2.97,0.24,4.85,7.01,6.5,2.91,7.39,11.38,7.01
2. Asuransi dan Dana Pensiun,-0.67,0.32,0.1,-0.5,-0.5,-0.24,0.61,-0.62,-2.06,-0.5,-0.67,1.33,-0.35,-2.31,-0.5
3. Jasa Keuangan Lainnya,4.08,4.88,5.16,4.03,4.03,-4.45,1.92,2.65,0.91,4.03,4.08,5.68,5.71,0.87,4.03
4. Jasa Penunjang Keuangan,-1.37,-1.72,-1.79,-1.53,-1.53,-1.64,-0.77,1.42,0.28,-1.53,-1.37,-2.07,-1.92,-0.74,-1.53
L. Real Estate,0.37,0.67,1.18,1.43,1.43,0.01,0.6,1.25,0.29,1.43,0.37,0.96,2.21,2.18,1.43
"M,N. Jasa Perusahaan",6.37,8,8.46,8.24,8.24,-0.16,5.53,-0.03,2.18,8.24,6.37,9.59,9.37,7.62,8.24
"O. Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",2.13,5.29,1.47,1.51,1.51,-10.93,15.8,-17.77,19.83,1.51,2.13,8.18,-6.24,1.63,1.51
P. Jasa Pendidikan,1.02,3.3,1.45,1.77,1.77,-14.28,11.86,-6.52,14.5,1.77,1.02,5.42,-2.09,2.63,1.77
Q. Jasa Kesehatan dan Kegiatan Sosial,4.77,6.57,5.27,4.67,4.67,-14.57,9.05,1.84,8.66,4.67,4.77,8.27,2.92,3.09,4.67
"R,S,T,U. Jasa lainnya",8.9,10.4,10.65,10.52,10.52,1.07,3.91,-2,7.02,10.52,8.9,11.89,11.14,10.15,10.52
A. NILAI TAMBAH BRUTO ATAS HARGA DASAR,4.29,4.95,5.04,5.05,5.05,-1.1,4.18,1.69,0.32,5.05,4.29,5.58,5.21,5.11,5.05
B. PAJAK DIKURANG SUBSIDI ATAS PRODUK,23.53,8.79,5.41,4.94,4.94,3.44,-2.75,-0.47,3.44,4.94,23.53,-3.1,-0.85,3.56,4.94
C. PRODUK DOMESTIK BRUTO,5.04,5.11,5.05,5.05,5.05,-0.9,3.86,1.6,0.45,5.05,5.04,5.17,4.94,5.04,5.05
