model,rmse,mae,directional_accuracy
naif,0.015495648551280041,0.010559315173741528,0.0
lr,0.015107415005748056,0.01034792204040356,0.5578034682080925
rf,0.015260083282082693,0.010466355869640497,0.5404624277456648
xgb,0.015195998393534105,0.010408214747235852,0.5433526011560693
