fitur,model,rmse,mae,directional_accuracy
domestik_saja,rf,0.015607865142920311,0.010739571458660592,0.48265895953757226
domestik_saja,xgb,0.015480622861364424,0.01063087336745831,0.4797687861271676
global_saja,rf,0.0152598677414888,0.010471753548181924,0.5491329479768786
global_saja,xgb,0.015199995384634544,0.010390802972149473,0.5722543352601156
penuh,rf,0.015260083282082693,0.010466355869640497,0.5404624277456648
penuh,xgb,0.015195998393534105,0.010408214747235852,0.5433526011560693
