Date,return_ihsg
2020-03-09,-0.0680505240288256
2020-03-12,-0.0514263978876258
2020-03-16,-0.0452063678854022
2020-03-17,-0.0511531245058731
2020-03-19,-0.0534146397769387
2020-03-23,-0.0502097608260715
2020-03-26,0.0970421898079312
2020-03-27,0.0465315709306701
2020-04-06,0.0399401958525992
2020-09-10,-0.0513845186427208
2022-05-09,-0.045155227059263
2025-03-03,0.0389503595209803
2025-03-18,-0.0391624737037583
2025-04-08,-0.0823184303818051
2025-04-10,0.0468152672196141
2026-01-28,-0.0762965075072996
2026-02-02,-0.0500802454046519
2026-03-04,-0.0467581561674791
2026-04-08,0.0432596613601091
2026-06-03,-0.0419228354228497
2026-06-05,-0.0428626443186878
2026-06-08,-0.0462055645925437
2026-06-09,0.0729909205267863
2026-06-15,0.0403410633564696
